	f_pHep_m_ConvR_1	f_pHep_m_ConvR_2	f_pHep_m_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_ConvR_2	f_pHep_f_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_GF_serum_2	f_pHep_f_GF_serum_3	f_pHep_f_GF_serum__GH_1	f_pHep_f_GF_serum_GH_2	f_pHep_f_GF_serum_GH_3	m_pHep_m_ConvR_1	m_pHep_m_ConvR_2	m_pHep_m_ConvR_3
ENSMUSG00000056055|Sag	15	14	26	16	21	27	23	16	13	26	19	29	4	10	4
ENSMUSG00000056061|Gm14318	0	2	0	0	3	0	0	1	0	0	0	2	0	4	4
ENSMUSG00000056069|Fam105a	10	8	4	2	3	7	1	13	3	4	5	5	7	9	7
ENSMUSG00000056071|S100a9	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000056073|Grik2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000056076|Eif3b	10504	7023	8130	8589	9887	7836	8040	8882	7372	10377	9095	10086	5226	5634	5704
ENSMUSG00000056078|Lipm	2	0	0	0	0	0	0	0	1	0	0	2	1	1	2
ENSMUSG00000056089|Gm5468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056091|St3gal5	445	430	460	661	694	502	471	467	367	665	444	582	435	429	446
ENSMUSG00000056106|Gm9990	28	42	50	73	57	44	65	59	33	86	61	65	35	48	20
ENSMUSG00000056115|Tas2r134	2	3	0	1	0	0	1	0	2	4	5	0	0	0	0
ENSMUSG00000056116|H2-T22	9626	9036	10057	9779	11567	11143	10111	10103	10224	11432	10660	12936	8586	9561	9331
ENSMUSG00000056121|Fez2	7855	8200	8741	8528	9409	8805	7857	8618	7682	9813	9194	10403	5361	6012	6268
ENSMUSG00000056124|B4galt6	38	43	45	85	121	80	72	71	49	79	60	75	53	32	56
ENSMUSG00000056128|Gm9991	0	0	0	0	1	0	1	1	0	2	5	1	0	0	0
ENSMUSG00000056130|Ticam2	2	3	3	3	1	4	5	2	1	3	2	1	0	2	3
ENSMUSG00000056131|Pgm3	2178	2472	2541	3526	3683	2819	2675	2573	2235	3333	2750	3337	2523	2902	2882
ENSMUSG00000056133|Gm9992	0	0	0	0	0	2	1	2	0	0	2	2	1	3	0
ENSMUSG00000056144|Trim34a	707	660	844	939	1172	1113	829	877	715	918	862	1085	626	717	618
ENSMUSG00000056145|AI504432	0	0	1	0	0	0	0	1	0	5	10	4	3	2	0
ENSMUSG00000056148|Rdh9	31	31	42	59	52	49	39	36	32	55	50	61	69	75	43
ENSMUSG00000056153|Socs6	2302	2179	2912	2717	3073	3092	2413	2865	2535	3264	2898	3312	2244	2519	2415
ENSMUSG00000056155|Nanos3	8	7	13	4	9	7	9	6	9	5	8	6	9	15	6
ENSMUSG00000056158|Car10	0	0	0	4	0	0	0	2	0	0	0	7	0	3	3
ENSMUSG00000056162|Cndp1	0	0	2	0	2	2	5	1	0	1	8	0	3	2	0
ENSMUSG00000056167|Cnot10	1622	1696	1735	1880	2156	2094	1796	1806	1569	1972	1821	2240	1558	1734	1628
ENSMUSG00000056174|Col8a2	2	4	0	0	2	2	0	1	0	1	2	5	0	4	0
ENSMUSG00000056184|Olfr283	1	0	2	0	0	2	0	0	1	2	0	0	0	0	0
ENSMUSG00000056185|Snx32	31	50	41	35	40	39	32	17	23	36	31	20	22	16	34
ENSMUSG00000056197|4931417E11Rik	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000056201|Cfl1	27493	26515	28635	27539	31661	30328	27931	30322	29144	33507	31414	36326	24349	26383	26862
ENSMUSG00000056203|Tas2r135	2	7	5	2	3	11	13	3	0	4	5	2	5	7	4
ENSMUSG00000056204|Pgpep1	3757	3637	3913	4194	4732	4825	3602	3789	3379	4462	3802	4616	2436	2784	2809
ENSMUSG00000056209|Npm3	1290	1325	1461	1704	1763	1772	1445	1589	1481	1877	1757	1804	1020	1205	1242
ENSMUSG00000056211|R3hdm1	771	592	734	857	939	755	829	783	580	1080	783	883	609	675	533
ENSMUSG00000056214|Pard6g	37	29	38	47	47	55	44	30	28	68	50	53	21	39	30
ENSMUSG00000056215|Lrguk	1	3	7	9	4	14	13	9	4	20	13	6	5	3	6
ENSMUSG00000056216|Cebpg	3323	3112	3913	4388	5270	4980	3849	4101	3743	5151	4672	5365	3287	3714	3701
ENSMUSG00000056219|Gm5423	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056220|Pla2g4a	19	6	14	13	6	18	10	20	30	6	16	24	28	24	29
ENSMUSG00000056222|Spock1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000056223|Spata31	0	0	0	0	0	0	1	0	0	0	0	5	0	1	1
ENSMUSG00000056228|Cars2	329	418	402	478	487	385	374	349	308	450	321	455	302	309	253
ENSMUSG00000056234|Ncoa4	3289	3587	3898	4530	5176	4709	3500	3408	3232	4374	3974	4770	3802	4668	4064
ENSMUSG00000056257|Gm5447	3	0	3	8	19	4	4	7	8	5	4	5	4	9	11
ENSMUSG00000056258|Kcnq3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000056260|Lrif1	773	651	844	998	1171	1096	860	912	716	1107	937	1068	769	928	861
ENSMUSG00000056267|Cep70	212	207	296	276	363	330	250	279	234	397	314	338	262	304	265
ENSMUSG00000056268|Dennd1b	2125	2141	2605	3030	3561	2918	2659	2764	2141	3728	2927	3109	1839	2400	1885
ENSMUSG00000056270|Prr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056271|Lman1l	2	3	4	4	2	7	0	11	2	3	1	1	0	3	2
ENSMUSG00000056281|Olfr1322	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000056288|Gm11961	1	0	0	0	0	1	1	4	0	0	2	0	0	0	0
ENSMUSG00000056290|Ms4a4b	7	12	9	5	5	4	3	2	2	2	7	0	9	10	14
ENSMUSG00000056293|Gsdmc2	0	0	2	0	0	1	0	0	1	0	1	0	0	2	0
ENSMUSG00000056296|Synpr	0	10	5	0	2	0	1	1	0	0	0	2	0	2	4
ENSMUSG00000056300|Gm13247	239	164	128	177	171	157	209	234	155	177	192	201	76	77	63
ENSMUSG00000056305|Usp39	3127	3349	3543	3662	4186	4352	3221	3566	3378	3777	3808	4174	2500	2767	2637
ENSMUSG00000056306|Sertm1	0	0	0	1	0	1	0	1	0	0	0	0	5	2	1
ENSMUSG00000056310|Tyw1	2072	2164	2220	2264	2626	2531	2224	2307	2006	2438	2346	2651	2383	2583	2334
ENSMUSG00000056313|1810011O10Rik	6400	5775	7484	5552	6509	5723	6033	7069	6477	6538	7165	8133	5234	5929	5573
ENSMUSG00000056316|Gm9996	0	0	1	0	0	0	3	2	0	0	1	0	0	0	0
ENSMUSG00000056328|Myh1	7	0	0	0	0	2	0	0	0	1	0	4	0	0	0
ENSMUSG00000056329|1810010K12Rik	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1
ENSMUSG00000056332|Gm16294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056342|Usp34	7489	6392	9020	8747	10998	8673	9155	8272	6807	13714	9843	10920	5740	7241	6229
ENSMUSG00000056350|Krtap13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056359|D830013O20Rik	0	0	1	5	1	2	1	1	0	1	1	2	0	1	1
ENSMUSG00000056366|Fabp3-ps1	1	0	5	0	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000056367|Actr3b	3	0	6	1	6	4	0	3	0	4	4	2	1	3	1
ENSMUSG00000056370|Sftpb	0	0	0	1	0	0	0	1	0	0	0	0	4	0	0
ENSMUSG00000056379|Taar1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056380|Gpr50	1	0	7	0	0	0	2	1	1	0	1	0	1	0	0
ENSMUSG00000056383|AI987944	646	671	844	1096	1124	1266	782	984	865	1097	1083	1258	749	887	854
ENSMUSG00000056394|Lig1	1150	1274	1151	1416	1843	1741	1120	1177	1109	1479	1372	1336	392	378	421
ENSMUSG00000056399|Prss34	0	1	2	2	0	0	0	1	1	3	2	0	2	3	1
ENSMUSG00000056411|Gm12500	20	8	5	19	17	14	11	17	11	10	6	28	15	12	4
ENSMUSG00000056412|Gm12396	184	152	168	169	201	231	138	209	216	211	210	283	230	187	210
ENSMUSG00000056413|Adap1	94	120	92	134	170	138	104	102	90	139	118	129	88	92	106
ENSMUSG00000056418|BC043934	0	0	2	0	0	0	0	0	0	3	0	1	0	0	2
ENSMUSG00000056423|Uts2d	0	0	0	0	0	0	0	2	0	1	0	2	0	3	1
ENSMUSG00000056426|Nat3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000056427|Slit3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000056429|Tgoln1	20690	13919	19581	15441	18489	18734	18850	23131	18420	20238	22246	25140	18501	21041	19963
ENSMUSG00000056436|Cyct	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ENSMUSG00000056445|5730446D14Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056457|Prl2c3	1	5	0	6	9	1	1	4	4	1	7	9	2	4	3
ENSMUSG00000056458|Stk30	66	74	80	111	86	93	58	102	74	101	66	106	75	70	75
ENSMUSG00000056459|Zbtb25	254	231	323	326	349	353	265	294	229	307	289	382	205	230	231
ENSMUSG00000056468|5730596B20Rik	0	0	0	3	0	0	1	0	0	1	4	1	0	2	0
ENSMUSG00000056476|Med12l	221	218	261	355	415	224	274	242	168	438	252	315	117	123	81
ENSMUSG00000056481|Cd248	1	4	2	3	0	1	0	1	3	0	2	1	0	3	1
ENSMUSG00000056486|Chn1	39	45	49	61	42	45	38	45	57	62	60	67	30	35	35
ENSMUSG00000056487|Mettl7a2	5	1	1	3	3	6	2	3	2	3	0	1	0	2	1
ENSMUSG00000056492|Gpr116	164	84	169	162	235	161	171	187	122	161	171	256	377	385	393
ENSMUSG00000056493|Foxk1	1960	1186	1522	1302	1484	1338	1305	1637	1306	1339	1362	1523	727	750	748
ENSMUSG00000056494|Cngb3	2	10	5	4	13	3	1	6	2	9	7	12	5	4	2
ENSMUSG00000056498|Tmem154	496	439	471	751	965	810	638	662	535	811	639	871	655	717	699
ENSMUSG00000056501|Cebpb	7612	7511	6560	8049	8995	9100	7000	7659	7248	9291	7708	9761	8266	8874	8918
ENSMUSG00000056508|1700001K19Rik	0	4	0	1	1	0	0	2	3	0	0	1	0	3	1
ENSMUSG00000056509|Gm9999	4	0	1	0	0	0	0	0	1	0	1	0	0	1	0
ENSMUSG00000056515|Rab31	8943	10269	11165	9127	10230	9439	9218	9509	8262	11212	10242	11429	5097	5818	5807
ENSMUSG00000056529|Ptafr	11	4	13	10	18	16	4	28	6	27	49	56	9	9	10
ENSMUSG00000056531|Ccdc18	46	24	33	72	42	46	37	48	23	68	51	64	31	31	34
ENSMUSG00000056536|Pign	3031	3201	3645	4528	4759	4202	3568	3526	2972	4648	3951	4815	2974	3800	3246
ENSMUSG00000056537|Rlim	14427	11916	16012	14005	16357	15895	14711	16238	13129	16944	17403	19360	11277	13478	11616
ENSMUSG00000056544|Defb21	5	1	1	3	6	3	3	3	2	0	2	3	7	1	1
ENSMUSG00000056552|Zfp953	323	257	398	460	502	525	358	366	311	479	495	524	270	398	347
ENSMUSG00000056553|Ptprn2	7	5	4	18	20	12	10	10	3	16	9	18	24	22	11
ENSMUSG00000056564|Olfr324	0	0	0	2	0	1	0	2	0	1	0	0	5	0	1
ENSMUSG00000056569|Mpz	20	11	13	9	5	10	17	18	17	10	17	4	12	12	6
ENSMUSG00000056579|Tug1	2507	2311	2943	3413	3758	3586	2950	3104	2576	3694	3268	3740	2411	2935	2546
ENSMUSG00000056583|mmu-mir-196b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000056586|Zar1l	0	0	1	0	1	0	1	0	3	0	0	3	0	2	0
ENSMUSG00000056590|H2afy3	0	3	0	0	2	0	0	2	0	0	0	1	0	0	1
ENSMUSG00000056592|Zfp658	124	151	178	161	132	150	192	164	131	178	153	189	117	115	83
ENSMUSG00000056596|Trnp1	8	1	7	7	11	9	8	7	6	5	10	4	0	8	7
ENSMUSG00000056598|Lrrc48	19	19	22	24	33	36	28	23	22	28	27	50	18	20	16
ENSMUSG00000056600|Olfr90	0	0	0	0	1	0	0	0	0	1	0	1	0	2	1
ENSMUSG00000056602|Fry	1	5	1	20	10	8	12	5	10	13	9	8	8	10	8
ENSMUSG00000056605|Krt72-ps	9	13	9	11	6	6	8	6	4	6	6	5	2	8	4
ENSMUSG00000056606|Gm10000	24	23	7	28	24	6	24	4	18	11	10	16	36	41	24
ENSMUSG00000056608|Chd9	2110	1679	2355	3341	3976	2378	2508	2340	1659	4044	2557	3030	1559	2035	1674
ENSMUSG00000056612|Ppp1r14b	3811	3910	4448	3890	4508	4433	3912	3936	3916	4969	4219	4936	3040	3158	3494
ENSMUSG00000056617|4931429L15Rik	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000056629|Fkbp2	331	274	340	368	364	354	342	337	286	508	331	419	403	453	527
ENSMUSG00000056632|Dsg3	0	0	1	0	0	0	1	1	0	2	0	1	1	1	1
ENSMUSG00000056643|Chst13	220	292	219	315	403	304	254	249	195	327	187	311	125	124	150
ENSMUSG00000056648|Hoxb8	1	5	4	0	0	0	0	1	0	1	1	0	0	4	1
ENSMUSG00000056656|Apol8	15	15	13	5	17	10	21	6	5	16	9	7	3	3	4
ENSMUSG00000056665|4930572J05Rik	135	106	119	205	200	178	130	124	102	206	110	127	89	96	100
ENSMUSG00000056666|Retsat	915	955	952	1373	1409	1205	920	858	762	1215	965	1151	1249	1305	1192
ENSMUSG00000056671|Prelid2	1212	1060	1351	1649	1915	1627	1590	1640	1637	2063	1704	1988	1492	1775	1732
ENSMUSG00000056673|Kdm5d	0	0	0	0	0	0	0	0	0	0	0	0	1302	1506	1324
ENSMUSG00000056679|Gpr173	1	3	0	0	0	0	2	0	1	0	2	0	0	3	0
ENSMUSG00000056682|4930465K10Rik	0	2	2	1	1	2	2	4	1	0	0	4	2	7	3
ENSMUSG00000056687|Gm11696	130	52	68	116	98	47	55	112	63	172	101	90	50	81	68
ENSMUSG00000056692|D17Wsu92e	5322	4834	5339	5829	6839	6211	5135	5456	4656	6325	5480	6519	4286	4968	4549
ENSMUSG00000056696|Olfr1350	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000056698|Elmod3	330	332	324	436	515	429	326	411	256	400	368	400	225	211	242
ENSMUSG00000056699|Gm5533	0	4	1	0	0	0	1	1	0	0	1	2	1	1	0
ENSMUSG00000056706|Krtap7-1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
ENSMUSG00000056708|Ier5	2710	2113	2757	2130	2817	2793	2530	3337	3145	3091	3456	3673	1788	2195	2303
ENSMUSG00000056716|Gm5420	0	0	0	0	0	0	2	3	1	0	0	2	0	0	0
ENSMUSG00000056718|Gm13199	10	17	16	13	18	12	7	23	7	19	20	19	22	20	7
ENSMUSG00000056724|Nbeal2	628	619	532	688	775	577	628	600	508	790	607	748	335	332	320
ENSMUSG00000056728|Ctsll3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
ENSMUSG00000056729|Gm10006	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056735|A930024E05Rik	53	48	74	70	77	71	68	73	50	85	55	68	69	76	55
ENSMUSG00000056737|Capg	1000	953	1096	778	942	990	1080	1371	1325	1113	1199	1342	884	1006	1081
ENSMUSG00000056738|A730036I17Rik	5	3	3	5	11	7	3	6	3	7	2	9	11	13	7
ENSMUSG00000056749|Nfil3	1840	1774	1819	1979	2428	2242	1667	1900	1494	1905	1740	2066	1437	1470	1582
ENSMUSG00000056752|Dnahc9	2	0	3	1	0	1	0	0	0	2	0	1	0	2	1
ENSMUSG00000056753|C330011M18Rik	31	34	55	29	61	42	48	49	47	36	39	31	24	49	28
ENSMUSG00000056755|Grm7	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000056758|Hmga2	5427	4582	5745	5109	5404	5610	5234	6875	4940	6340	6433	7096	3447	3984	4125
ENSMUSG00000056763|Cspp1	1341	1401	1744	1923	2334	1898	1797	1797	1419	2323	1819	2090	1212	1589	1299
ENSMUSG00000056770|Setd3	3828	3860	4463	4644	5108	4692	4060	4258	3747	5355	4544	5205	3531	4091	4007
ENSMUSG00000056771|Gm10010	30	19	20	59	57	68	29	34	27	44	43	29	15	15	17
ENSMUSG00000056772|Rps6-ps2	12	35	7	11	13	9	7	2	12	6	4	8	7	10	10
ENSMUSG00000056777|Rpl21-ps13	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000056782|Olfr667	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000056797|Gm4889	5	20	6	4	10	2	9	3	5	3	7	2	6	5	2
ENSMUSG00000056812|St8sia3	0	0	11	6	7	7	5	15	10	2	9	11	10	19	3
ENSMUSG00000056815|Gm6812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056820|Tsnax	1469	1282	1477	1733	2055	1912	1561	1524	1323	1925	1604	1813	1362	1444	1510
ENSMUSG00000056821|1700028I16Rik	21	14	12	17	21	38	18	26	10	16	21	34	21	30	24
ENSMUSG00000056822|Olfr166	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000056824|Zfp663	0	2	0	1	0	1	0	0	0	0	1	0	1	3	0
ENSMUSG00000056829|Foxb2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000056832|Ttc26	370	358	470	540	545	523	414	465	415	499	424	599	321	377	354
ENSMUSG00000056836|Gm6851	253	228	271	298	320	290	237	250	309	305	335	297	203	223	266
ENSMUSG00000056849|Gm16415	6	6	9	9	0	3	14	14	6	7	10	12	5	8	3
ENSMUSG00000056851|Pcbp2	2702	1945	2226	2270	2397	2087	2146	2429	2122	2835	2354	3152	2048	1959	2194
ENSMUSG00000056853|Olfr765	0	0	2	0	0	0	0	0	1	5	0	0	0	1	0
ENSMUSG00000056854|Pou3f4	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0
ENSMUSG00000056856|Jakmip3	1	0	0	0	1	3	1	0	0	0	1	1	0	0	1
ENSMUSG00000056858|Olfr1502	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000056863|Olfr702	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000056870|Gulp1	0	0	0	0	0	0	2	0	0	3	1	3	4	1	3
ENSMUSG00000056872|Gm10011	0	5	1	2	3	2	9	2	8	5	3	2	0	2	0
ENSMUSG00000056877|Rps15a-ps1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000056880|Gadl1	81	175	70	116	90	151	83	183	107	107	146	195	125	155	122
ENSMUSG00000056882|Vmn1r215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056883|Olfr533	0	3	0	0	0	0	0	1	1	0	2	2	1	0	0
ENSMUSG00000056885|Gm4559	0	1	0	0	1	2	1	0	0	1	1	0	2	0	1
ENSMUSG00000056888|Glipr1	16	20	3	18	15	25	15	14	16	27	18	16	22	23	16
ENSMUSG00000056895|Hist3h2ba	10	4	9	6	8	6	11	3	3	3	2	9	4	1	7
ENSMUSG00000056899|Immp2l	348	431	499	704	802	724	551	456	420	786	625	574	393	469	395
ENSMUSG00000056900|Usp13	1	0	0	0	0	2	1	0	0	0	1	0	5	3	0
ENSMUSG00000056901|Tas2r102	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056904|Gm5620	205	258	231	242	295	291	185	207	196	338	240	297	162	226	234
ENSMUSG00000056910|Vmn2r107	0	0	1	5	0	0	2	3	0	0	1	0	1	0	0
ENSMUSG00000056912|1700017N19Rik	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056917|Sipa1	222	242	239	211	290	239	207	215	160	227	189	257	147	198	187
ENSMUSG00000056919|4922501C03Rik	858	948	1110	1173	1322	1249	1135	1048	902	1446	1181	1415	881	1047	959
ENSMUSG00000056921|Olfr394	0	0	1	0	1	0	0	1	0	0	0	2	3	1	0
ENSMUSG00000056926|Tas2r113	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056938|Acbd4	605	684	642	950	1075	999	732	736	661	930	686	886	405	431	453
ENSMUSG00000056941|Commd7	1356	1374	1434	1468	1712	1516	1360	1469	1390	1688	1521	1768	1171	1281	1391
ENSMUSG00000056943|Gm10015	7	4	2	0	0	1	0	3	2	2	1	1	9	2	4
ENSMUSG00000056946|Olfr512	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000056947|Mab21l1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000056952|Tatdn2	3777	3738	4288	4005	4234	4263	3616	4254	3767	4605	4325	4581	2928	3208	3192
ENSMUSG00000056959|Olfr315	0	0	0	0	0	2	0	2	0	1	0	0	5	0	1
ENSMUSG00000056961|Olfr919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ENSMUSG00000056962|Jmjd6	2555	2494	2753	2412	2687	2935	2512	2696	2495	2918	2824	3114	2103	2468	2225
ENSMUSG00000056966|Gjc3	6	5	5	11	10	19	3	12	3	5	7	2	10	20	17
ENSMUSG00000056972|Magel2	0	0	2	0	0	6	0	0	2	0	0	0	0	1	1
ENSMUSG00000056973|Ces1d	124	207	183	198	172	177	166	143	159	236	179	216	302	273	302
ENSMUSG00000056978|Hamp2	15	25	13	31	25	27	21	9	21	22	30	27	32	20	21
ENSMUSG00000056987|Fam71d	11	13	16	4	6	8	4	9	6	9	8	2	1	7	11
ENSMUSG00000056995|Olfr1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056999|Ide	6287	5937	7515	7106	8111	7712	7179	7394	6506	8366	7784	8906	5992	7225	6538
ENSMUSG00000057000|Nxf3	0	1	0	3	3	0	4	5	0	4	0	0	7	4	2
ENSMUSG00000057003|Myh4	42	0	0	0	0	2	0	1	1	0	0	3	0	0	0
ENSMUSG00000057021|VMN2R-PS160	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057036|Gm7536	9282	8195	10397	9389	10960	11891	8845	9435	9769	10859	10015	12359	8297	8186	9404
ENSMUSG00000057037|Cfhr1	76	78	94	202	162	111	106	105	78	188	93	133	206	235	191
ENSMUSG00000057047|1700010B08Rik	0	1	3	2	0	0	0	1	0	4	2	0	2	0	3
ENSMUSG00000057050|Olfr397	1	1	0	0	0	0	0	0	0	0	0	0	4	1	0
ENSMUSG00000057054|Inca1	184	212	173	353	349	323	188	230	187	213	220	323	224	242	226
ENSMUSG00000057058|Skap1	1	5	2	2	0	0	0	4	1	1	1	0	0	3	2
ENSMUSG00000057060|Slc35f3	0	0	0	0	0	3	0	0	1	0	0	0	1	3	0
ENSMUSG00000057067|Olfr297	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000057068|Fam47e	2	3	1	2	5	0	2	0	0	4	1	1	3	4	6
ENSMUSG00000057069|Ero1lb	602	537	619	799	915	808	720	619	533	810	716	778	613	725	668
ENSMUSG00000057072|1700022P22Rik	3	0	1	0	0	1	0	0	0	0	2	1	0	0	0
ENSMUSG00000057074|Ces1g	214	230	271	287	336	244	301	203	216	337	265	346	386	462	421
ENSMUSG00000057092|Fxyd3	1	0	2	1	0	1	0	0	2	2	0	3	2	1	1
ENSMUSG00000057093|C030039L03Rik	29	16	34	31	50	48	47	42	17	34	35	35	24	43	34
ENSMUSG00000057098|Ebf1	3	7	11	4	2	7	2	3	0	8	6	9	5	5	5
ENSMUSG00000057101|Zfp180	1308	1125	1528	1387	1596	1480	1284	1550	1430	1536	1624	1837	1079	1311	1255
ENSMUSG00000057103|Cml1	142	166	178	172	204	206	147	169	181	202	160	213	330	277	360
ENSMUSG00000057110|Cep110	1391	1442	1613	1957	2243	1860	1679	1757	1287	2109	1780	2018	1382	1591	1283
ENSMUSG00000057113|Npm1	40607	35605	47507	39209	45508	48011	43351	51291	46581	50836	55113	60143	38396	44331	45323
ENSMUSG00000057116|AF366264	0	0	0	1	1	0	0	0	2	0	4	0	0	3	0
ENSMUSG00000057123|Gja5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000057130|Txnl4a	6920	6792	7411	6756	7975	8091	6747	7937	6905	7725	7751	8687	5858	6500	6428
ENSMUSG00000057132|Rpgrip1	58	41	27	57	47	50	29	74	35	52	40	58	31	47	46
ENSMUSG00000057133|Chd6	1101	1126	1342	1396	1733	1392	1374	1349	1076	1767	1355	1493	967	1122	932
ENSMUSG00000057134|Ado	1772	1735	1879	2053	2484	2467	1978	2065	1935	2273	1982	2256	1240	1503	1325
ENSMUSG00000057135|Scimp	2	1	3	0	0	1	3	5	2	3	1	0	1	1	0
ENSMUSG00000057137|Tmem140	3464	3144	3652	2996	3716	3439	3264	3818	3278	3154	3390	3766	3278	3665	3270
ENSMUSG00000057143|Trim12c	1565	1424	1711	2125	2257	2150	1785	1681	1497	1922	1898	2302	1916	2038	1944
ENSMUSG00000057147|Atpbd4	669	581	717	808	884	796	829	800	677	987	909	1036	562	621	620
ENSMUSG00000057149|Olfr1301	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000057156|Homez	271	297	345	442	469	439	340	380	320	466	350	446	273	259	304
ENSMUSG00000057157|Gm6054	80	45	68	50	62	71	62	93	87	84	72	93	65	58	95
ENSMUSG00000057160|Gm16372	5	14	1	2	5	2	4	5	3	4	4	4	0	3	3
ENSMUSG00000057161|Vmn1r80	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000057163|Prss2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057168|Olfr10	1	2	0	1	6	0	2	0	0	2	1	1	0	0	3
ENSMUSG00000057170|Prl3d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057173|Rfx8	0	0	0	0	1	1	0	1	1	6	1	1	2	0	4
ENSMUSG00000057174|Krtap19-9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057176|Gm166	41	41	33	53	54	61	55	39	39	52	45	71	35	34	29
ENSMUSG00000057177|Gsk3a	2407	2272	2362	2386	2773	2768	2106	2358	2283	2631	2361	2797	1982	1876	2132
ENSMUSG00000057179|Olfr747	1	2	3	1	0	5	0	2	0	3	1	2	0	5	2
ENSMUSG00000057181|5730455P16Rik	576	651	676	894	1013	791	695	640	555	780	641	925	757	812	719
ENSMUSG00000057182|Scn3a	3	6	0	0	1	0	1	3	2	0	4	0	0	2	5
ENSMUSG00000057191|AB124611	18	8	11	14	17	11	17	12	15	20	15	9	6	17	4
ENSMUSG00000057193|Slc44a2	218	229	248	297	268	296	261	305	198	262	236	314	234	274	242
ENSMUSG00000057195|Ceacam13	1	2	0	0	1	2	0	1	0	0	3	2	0	1	0
ENSMUSG00000057203|Vmn1r234	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057207|Olfr1028	1	0	2	0	2	1	1	1	0	2	2	1	0	0	2
ENSMUSG00000057215|Gm15514	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000057216|Gm10807	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
