	Cry_KO_Exon_ZT_02_1	Cry_KO_Exon_ZT_06_1	Cry_KO_Exon_ZT_10_1	Cry_KO_Exon_ZT_14_1	Cry_KO_Exon_ZT_18_1	Cry_KO_Exon_ZT_22_1	Cry_KO_Exon_ZT_02_2	Cry_KO_Exon_ZT_06_2	Cry_KO_Exon_ZT_10_2	Cry_KO_Exon_ZT_14_2	Cry_KO_Exon_ZT_18_2	Cry_KO_Exon_ZT_22_2
ENSMUSG00000032766|Gng11	256	218	153	221	232	210	146	161	255	225	206	222
ENSMUSG00000032773|Chrm1	7	7	0	5	1	3	2	7	2	1	2	1
ENSMUSG00000032776|Mctp2	1088	1115	742	664	997	981	748	742	856	1132	905	923
ENSMUSG00000032777|Gtf3c1	3445	3180	3665	3810	3610	3049	2990	3326	3728	4204	3159	3053
ENSMUSG00000032782|Cntrob	278	277	231	266	263	241	216	244	210	224	301	228
ENSMUSG00000032783|Troap	3	3	1	4	4	4	6	2	7	2	4	0
ENSMUSG00000032786|Alas1	15574	9214	20053	35715	14569	16927	16238	13324	58093	74721	10474	21071
ENSMUSG00000032788|Pdxk	4541	3777	3672	4041	4524	4016	3577	3495	4178	4560	4023	4124
ENSMUSG00000032796|Lama1	828	628	355	526	498	546	572	584	599	555	448	520
ENSMUSG00000032802|Srxn1	1992	1859	1232	1267	1403	1431	1069	1134	1244	1701	1604	1382
ENSMUSG00000032803|Cdv3	7049	6408	7480	5965	5190	5884	5400	5504	7671	7827	5711	5874
ENSMUSG00000032806|Slc10a3	207	170	234	281	197	223	160	188	307	293	199	203
ENSMUSG00000032808|Cyp2c38	2729	2071	763	972	402	455	1088	1497	1486	817	315	669
ENSMUSG00000032812|Arap1	3350	2780	1960	2493	3281	2838	2287	2514	2045	2630	2788	2739
ENSMUSG00000032815|Fanca	53	37	15	25	28	37	16	15	20	14	17	30
ENSMUSG00000032816|Igdcc4	8	6	7	4	10	43	11	13	10	16	11	5
ENSMUSG00000032826|Ank2	131	83	46	54	60	114	76	72	60	92	100	121
ENSMUSG00000032827|Ppp1r9a	1060	1314	607	888	510	1065	847	800	804	1133	737	697
ENSMUSG00000032834|Pwp2	691	776	812	996	714	751	600	704	1126	1179	717	864
ENSMUSG00000032839|Trpc1	13	17	13	25	24	22	10	33	19	20	12	22
ENSMUSG00000032840|2410131K14Rik	629	577	664	475	459	390	501	482	511	453	478	470
ENSMUSG00000032841|Prr5l	102	113	104	118	93	85	92	120	112	87	66	101
ENSMUSG00000032842|Abcc10	273	229	244	289	216	188	222	241	273	278	210	237
ENSMUSG00000032845|Alpk2	3	1	3	6	1	5	0	6	3	9	1	6
ENSMUSG00000032846|Zswim6	305	294	238	230	272	248	203	249	344	300	230	247
ENSMUSG00000032849|Abcc4	593	637	364	214	283	244	303	250	386	401	261	318
ENSMUSG00000032850|Rnft2	10	3	3	11	13	5	6	5	4	6	11	9
ENSMUSG00000032854|Ugt8a	11	8	7	13	14	44	11	21	14	14	9	7
ENSMUSG00000032855|Pkd1	1518	1912	2279	2274	1600	1613	1753	2033	2558	2440	1591	1890
ENSMUSG00000032860|P2ry2	346	432	580	409	380	381	403	337	578	504	407	419
ENSMUSG00000032864|Rag2	1	0	0	5	1	0	0	1	0	1	1	1
ENSMUSG00000032867|Fbxw8	2284	2135	1817	2018	2046	2043	1944	1779	1850	2191	2051	2077
ENSMUSG00000032869|Psmf1	1566	1268	1028	1025	991	1017	1115	1176	1110	1320	1097	1116
ENSMUSG00000032870|Smap2	816	739	650	619	725	586	694	774	846	722	675	631
ENSMUSG00000032872|Cyb5r4	1332	1267	1257	1075	1007	1156	918	960	1220	1333	1037	1126
ENSMUSG00000032875|Arhgef17	294	304	240	363	368	292	249	302	349	366	252	253
ENSMUSG00000032878|Ccdc85a	0	0	0	1	0	0	0	3	2	0	0	0
ENSMUSG00000032883|Acsl3	3872	3608	1504	2172	2975	2520	1899	2009	1760	2365	2616	2539
ENSMUSG00000032889|Gm6685	13	12	16	18	14	16	9	8	15	16	10	16
ENSMUSG00000032890|Rims3	78	62	82	58	79	52	79	96	66	61	51	70
ENSMUSG00000032892|Rangrf	69	78	81	104	92	93	67	59	87	85	90	80
ENSMUSG00000032897|Nfyc	644	654	677	551	638	594	571	527	605	636	545	583
ENSMUSG00000032898|Fbxo21	4317	4364	4703	2209	2361	3041	6577	6406	6266	3386	2409	2849
ENSMUSG00000032899|Styk1	4	3	0	1	0	6	4	2	4	1	0	2
ENSMUSG00000032900|1700065I17Rik	0	0	0	0	0	0	1	0	1	0	3	0
ENSMUSG00000032902|Slc16a1	3027	2884	2750	3145	2854	2603	2114	2442	3979	3668	2523	2253
ENSMUSG00000032905|Atg12	1257	1208	1353	854	1011	982	968	978	1070	1319	874	963
ENSMUSG00000032908|Sgpp2	11	5	7	16	8	7	3	4	11	16	12	2
ENSMUSG00000032911|Cspg4	9	7	9	11	13	34	9	11	9	13	12	6
ENSMUSG00000032913|Lrig2	609	484	647	484	489	485	423	451	555	530	448	453
ENSMUSG00000032915|Emr4	576	385	401	292	386	364	393	343	501	345	314	429
ENSMUSG00000032925|Itgbl1	18	20	16	28	14	31	18	33	34	28	28	17
ENSMUSG00000032932|Hspa13	2723	2132	2545	2966	2010	2228	1276	1417	2045	4211	2225	2246
ENSMUSG00000032939|Nup93	214	234	158	171	170	197	144	136	180	179	185	206
ENSMUSG00000032946|Rasgrp2	591	520	512	576	471	513	456	451	585	576	515	500
ENSMUSG00000032952|Ap4b1	814	809	715	747	590	660	665	634	664	813	696	673
ENSMUSG00000032959|Pebp1	3503	4041	2340	2886	2768	2821	2663	2872	2759	3696	2789	2718
ENSMUSG00000032965|Ift57	44	33	41	32	34	51	39	34	70	34	31	51
ENSMUSG00000032966|Fkbp1a	517	389	468	593	510	472	427	409	556	669	459	536
ENSMUSG00000032968|Inha	2	0	0	2	3	3	2	0	2	3	5	7
ENSMUSG00000032977|1810008A18Rik	830	907	934	1530	925	883	693	789	1055	1527	882	838
ENSMUSG00000032985|5730522E02Rik	15	19	7	11	19	13	20	15	10	11	20	12
ENSMUSG00000032988|Slc16a8	1	1	1	2	0	0	2	1	0	1	0	0
ENSMUSG00000032997|Chpf	90	66	140	99	118	117	106	80	95	139	103	112
ENSMUSG00000032998|Foxj3	592	614	709	516	465	529	592	557	842	751	482	530
ENSMUSG00000033004|Mycbp2	3231	3220	2928	2846	2782	2962	2366	2660	3049	3668	2614	2810
ENSMUSG00000033006|Sox10	1	0	2	5	0	2	1	0	0	1	0	0
ENSMUSG00000033009|Ogfod1	803	807	867	901	887	759	724	688	963	1207	736	732
ENSMUSG00000033014|Trim33	1326	1194	1446	846	1032	986	1068	969	1432	1215	927	1036
ENSMUSG00000033016|Nfatc1	367	366	410	323	367	320	342	314	456	416	312	360
ENSMUSG00000033020|Polr2f	626	526	461	571	599	593	535	552	630	571	611	643
ENSMUSG00000033021|Gmppa	1034	915	758	1148	959	948	610	763	811	1427	951	961
ENSMUSG00000033022|Cdo1	46285	46754	41597	37322	28915	27379	44629	54161	55617	40011	26959	33853
ENSMUSG00000033024|Klra9	2	2	2	0	1	1	1	1	4	3	1	3
ENSMUSG00000033027|Klrc3	4	1	1	0	1	1	0	1	0	0	0	0
ENSMUSG00000033029|1700088E04Rik	13	10	9	12	18	15	16	11	11	16	6	12
ENSMUSG00000033031|C330027C09Rik	124	81	44	29	45	60	52	45	66	58	53	49
ENSMUSG00000033032|Afap1l1	214	225	249	267	204	209	205	164	256	372	192	228
ENSMUSG00000033033|Calhm2	126	104	143	179	115	123	110	107	176	148	114	136
ENSMUSG00000033036|Gm7879	5	7	3	5	10	5	3	3	4	3	10	8
ENSMUSG00000033039|Micall1	616	638	843	783	695	643	569	561	1012	859	624	628
ENSMUSG00000033047|Eif3l	3300	2993	2970	3142	3195	3140	2468	2512	3082	3421	3082	3202
ENSMUSG00000033053|1700028P14Rik	2	0	5	5	2	2	1	1	2	4	1	8
ENSMUSG00000033054|Npat	507	455	600	295	420	411	446	387	559	488	391	500
ENSMUSG00000033055|Ankrd54	314	342	357	413	292	301	260	246	332	428	325	310
ENSMUSG00000033059|Pygb	352	327	259	389	461	410	258	296	375	313	258	307
ENSMUSG00000033060|Lmo7	1535	1431	1453	1015	1219	1369	1276	1001	1160	1305	1189	1118
ENSMUSG00000033065|Pfkm	855	835	819	641	651	668	722	727	864	807	599	632
ENSMUSG00000033066|Gas7	294	267	193	182	219	248	217	199	188	201	216	217
ENSMUSG00000033068|Entpd6	405	306	259	341	332	352	253	237	274	324	340	342
ENSMUSG00000033075|Senp1	405	398	555	453	451	412	392	386	629	517	403	390
ENSMUSG00000033082|Clec1a	163	102	164	65	101	117	103	112	136	125	101	110
ENSMUSG00000033083|Tbc1d4	175	217	232	205	196	195	209	197	222	179	160	172
ENSMUSG00000033088|Triobp	753	788	727	584	695	713	808	723	800	698	660	870
ENSMUSG00000033096|Apmap	1459	1322	1255	971	991	1115	1044	1043	1342	1476	1037	1128
ENSMUSG00000033099|Nol12	276	249	303	328	341	327	239	258	315	394	315	337
ENSMUSG00000033102|Cdc14b	2138	2308	1532	620	1309	1532	2152	1795	1758	1091	1290	1502
ENSMUSG00000033105|Lss	6654	6035	1523	3080	4807	4021	1770	1884	2189	2970	4639	5610
ENSMUSG00000033106|Slc7a6os	594	567	656	492	450	446	498	524	689	624	394	546
ENSMUSG00000033107|Rnf125	7164	6600	2991	728	2621	2560	5856	6907	3735	1752	2426	2635
ENSMUSG00000033111|3830406C13Rik	626	518	359	323	344	471	370	399	319	414	390	447
ENSMUSG00000033114|Slc35d2	2036	1926	994	1287	1374	1313	1278	1448	1264	1508	1377	1308
ENSMUSG00000033124|Atg9a	2778	2466	2507	2010	2403	2175	2069	2011	2219	2257	2302	2601
ENSMUSG00000033126|Ybey	243	245	194	234	224	197	154	166	215	271	191	202
ENSMUSG00000033128|Gga1	819	852	744	847	754	695	697	694	791	885	781	785
ENSMUSG00000033147|Slc22a15	417	379	346	279	334	320	234	254	233	247	331	283
ENSMUSG00000033149|Phldb2	2477	2638	1875	2064	2178	2324	2289	2495	2870	2710	2172	2397
ENSMUSG00000033152|Podxl2	5	3	0	11	6	6	4	7	3	8	4	10
ENSMUSG00000033157|Abhd10	274	219	238	145	173	201	202	184	249	185	169	220
ENSMUSG00000033159|Cnppd1	1577	1527	1982	812	1102	1121	1750	1363	1525	1088	1139	1250
ENSMUSG00000033161|Atp1a1	12804	12574	14401	14133	13783	12178	8919	10489	12951	13655	12036	13177
ENSMUSG00000033166|Dis3	478	442	430	481	394	441	397	362	604	588	410	506
ENSMUSG00000033170|Card10	396	358	467	514	349	337	446	406	581	520	217	332
ENSMUSG00000033174|Mgll	6316	4592	4035	7732	7272	5994	4275	4858	5708	8156	7512	6239
ENSMUSG00000033177|Tmprss7	1	4	1	0	0	1	0	2	0	0	0	0
ENSMUSG00000033182|Kbtbd12	25	13	17	13	20	19	12	2	9	14	22	24
ENSMUSG00000033184|Tmed7	7081	6269	6275	4835	5232	5984	4393	4123	5736	7168	5590	5772
ENSMUSG00000033186|Mzt1	942	911	831	563	486	691	767	808	950	813	521	727
ENSMUSG00000033187|BC016579	5	5	2	1	0	6	1	2	4	1	1	1
ENSMUSG00000033191|Tie1	811	709	859	852	829	680	701	703	878	913	707	740
ENSMUSG00000033192|Lpcat2	146	106	102	112	86	125	116	118	124	103	73	114
ENSMUSG00000033196|Myh2	0	0	0	0	0	3	2	0	0	0	1	6
ENSMUSG00000033207|Mamdc2	103	95	148	144	110	94	143	166	142	169	96	117
ENSMUSG00000033208|S100b	2	1	1	0	5	14	2	0	4	0	1	0
ENSMUSG00000033209|Ttc28	157	136	116	127	162	134	128	134	169	155	94	134
ENSMUSG00000033213|AA467197	1	2	2	2	1	11	0	0	2	1	0	2
ENSMUSG00000033216|Eefsec	1394	1288	1143	1066	1095	1063	1015	1092	1068	1211	1040	1111
ENSMUSG00000033220|Rac2	284	182	213	183	228	227	205	184	208	153	165	296
ENSMUSG00000033222|Ttf2	344	279	189	252	161	275	240	235	284	268	185	257
ENSMUSG00000033227|Wnt6	1	0	0	7	4	1	2	0	0	2	0	0
ENSMUSG00000033228|Scaf11	3786	3869	4059	2824	3089	3197	3191	3312	4426	3807	2996	3167
ENSMUSG00000033233|Trim45	65	70	26	76	37	76	46	39	45	84	58	73
ENSMUSG00000033237|Arid2	1527	1462	1285	1115	1144	1159	1108	1232	1489	1424	1076	1121
ENSMUSG00000033249|Hsf4	189	209	238	244	162	111	141	186	234	273	178	209
ENSMUSG00000033253|Szt2	887	692	1037	1097	1078	824	671	735	852	1023	1037	836
ENSMUSG00000033255|Gm5134	1	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000033256|Shf	302	376	270	273	278	245	313	375	410	355	246	290
ENSMUSG00000033257|Ttll4	1251	1242	1738	1297	1199	1206	983	1033	1771	1801	1178	1182
ENSMUSG00000033268|Duox1	0	0	3	0	0	4	3	0	0	0	0	0
ENSMUSG00000033272|Slc35a4	403	368	479	559	366	376	361	436	585	575	377	470
ENSMUSG00000033276|Stk36	41	20	53	37	45	25	35	26	19	49	45	27
ENSMUSG00000033278|Ptprm	422	289	373	308	342	323	313	294	316	328	287	357
ENSMUSG00000033282|Rpgrip1l	231	214	212	124	185	229	153	121	178	207	175	178
ENSMUSG00000033285|Wdr3	888	814	895	855	626	632	579	607	1122	1157	567	725
ENSMUSG00000033287|Kctd17	125	73	133	85	167	106	79	82	105	158	157	150
ENSMUSG00000033294|Noc4l	328	278	366	342	333	339	296	241	446	467	320	367
ENSMUSG00000033295|Ptprf	12183	10790	9156	8418	10648	10162	10385	9327	9515	9439	10172	10588
ENSMUSG00000033306|Lpp	4102	4081	3113	3209	2905	3398	3490	3676	3945	3780	2888	3509
ENSMUSG00000033307|Mif	3805	3430	3425	3978	4230	3581	3100	3034	4274	3839	3249	3544
ENSMUSG00000033308|Dpyd	20489	26415	17785	20705	13861	15245	17595	22763	23997	23892	14381	16097
ENSMUSG00000033313|Fbxl8	106	146	127	111	130	101	108	89	155	160	96	121
ENSMUSG00000033316|Galnt9	3	0	0	4	1	1	0	1	2	1	0	2
ENSMUSG00000033318|Gstt2	2619	2567	1344	2455	1957	1854	2044	2434	2858	2444	1703	1302
ENSMUSG00000033319|Fem1c	781	775	787	539	588	625	683	561	807	922	624	656
ENSMUSG00000033323|Ctdp1	528	482	717	492	581	557	508	590	741	670	478	624
ENSMUSG00000033326|Kdm4a	1576	1426	1358	1331	1340	1285	1355	1287	1336	1524	1326	1347
ENSMUSG00000033327|Tnxb	755	859	673	1292	1346	791	811	1815	1598	1205	932	872
ENSMUSG00000033335|Dnm2	2763	2331	2254	2457	2498	2355	2039	1900	2318	2712	2277	2353
ENSMUSG00000033342|4833424O15Rik	22	31	25	15	17	21	33	31	26	43	12	20
ENSMUSG00000033350|Chst2	286	309	152	158	207	182	208	271	294	170	171	219
ENSMUSG00000033352|Map2k4	1619	1502	1598	1162	1250	1385	1250	1239	1562	1560	1292	1311
ENSMUSG00000033355|Rtp4	572	354	282	376	548	455	331	308	319	282	579	561
ENSMUSG00000033356|Pus7l	93	59	98	103	61	95	55	64	144	116	106	104
ENSMUSG00000033361|Prrg3	49	41	43	31	37	46	51	40	47	78	39	43
ENSMUSG00000033364|Usp37	541	614	562	588	458	575	367	382	690	744	573	536
ENSMUSG00000033365|Ipo13	348	344	408	475	482	356	253	247	388	436	363	389
ENSMUSG00000033368|Trim69	2	4	0	5	1	2	3	0	2	0	3	2
ENSMUSG00000033373|Fntb	838	807	626	749	673	748	660	652	733	795	641	769
ENSMUSG00000033377|Palmd	1061	880	777	923	821	856	1109	1132	1417	1084	686	688
ENSMUSG00000033379|Atp6v0b	1956	1889	2713	1932	1965	1657	1897	1651	2258	2275	1988	2106
ENSMUSG00000033382|Trappc8	2861	2663	3060	1863	2545	2418	2391	2199	2788	2778	2299	2405
ENSMUSG00000033386|Frrs1	635	515	540	488	567	516	447	410	678	634	557	527
ENSMUSG00000033389|Arhgap44	76	66	50	67	42	72	42	42	64	64	39	79
ENSMUSG00000033392|Clasp2	1341	1307	969	944	868	1055	1176	1201	1322	1063	737	905
ENSMUSG00000033396|Spg11	1449	1430	1260	1196	1214	1220	1287	1277	1396	1370	1153	1234
ENSMUSG00000033400|Agl	3121	2977	2292	2557	2387	2279	2483	2680	3539	3260	2064	2402
ENSMUSG00000033405|Nudt15	33	28	27	14	31	23	22	17	30	25	19	15
ENSMUSG00000033409|Syce1l	179	156	206	182	146	167	127	115	185	234	188	167
ENSMUSG00000033411|Ctdspl2	769	697	785	483	517	570	614	593	961	739	511	663
ENSMUSG00000033416|1110038D17Rik	8011	6245	6792	4588	6421	6103	6505	5341	6691	8190	6187	6992
ENSMUSG00000033417|Cacul1	3372	3286	3991	2949	3195	2989	2540	2411	4313	4412	3099	3224
ENSMUSG00000033420|Antxr1	66	83	59	66	83	63	63	103	83	80	56	48
ENSMUSG00000033423|Eri3	839	849	746	786	732	841	704	858	870	888	756	830
ENSMUSG00000033427|Upb1	9818	9699	6994	8262	7390	7722	7755	8210	8727	9061	7347	7729
ENSMUSG00000033429|Mcee	1405	1283	1021	1053	958	1060	942	1078	1207	1253	1021	973
ENSMUSG00000033430|Terf2ip	675	652	752	688	468	574	538	543	881	827	487	530
ENSMUSG00000033434|Gtpbp6	424	443	562	537	485	416	497	444	525	513	435	457
ENSMUSG00000033436|Armcx2	113	109	103	163	141	139	122	116	119	177	105	134
ENSMUSG00000033439|Trmt13	211	208	237	212	165	175	217	178	335	288	159	170
ENSMUSG00000033444|Specc1l	1272	1170	1332	909	1095	1104	1213	1116	1431	1140	1046	1106
ENSMUSG00000033446|Lpar6	1158	1015	719	991	905	1084	1010	858	1130	1098	816	863
ENSMUSG00000033450|Tagap	46	32	22	14	33	37	19	21	24	24	22	40
ENSMUSG00000033453|Adamts15	65	33	25	103	54	58	49	60	79	67	50	41
ENSMUSG00000033454|Zbtb1	638	702	819	419	531	533	580	502	908	759	566	627
ENSMUSG00000033458|Fan1	314	316	342	407	266	282	298	297	360	355	275	281
ENSMUSG00000033460|Armcx1	108	73	107	70	96	110	90	63	117	126	77	110
ENSMUSG00000033467|Crlf2	217	230	234	268	266	259	252	241	300	234	210	245
ENSMUSG00000033470|Cysltr2	20	17	17	6	10	19	17	12	20	11	21	20
ENSMUSG00000033475|Tomm6	1747	1652	1506	1682	1819	1658	1492	1343	1677	1757	1665	1873
ENSMUSG00000033478|Fam160b1	2913	2981	3170	2386	2629	2171	2689	2689	3055	2989	2441	2454
ENSMUSG00000033486|Catsper2	82	124	79	103	106	98	79	89	88	121	105	61
ENSMUSG00000033487|Fndc3a	4855	4537	5240	5562	4249	4313	3764	3146	4675	7306	4088	4074
ENSMUSG00000033488|BC026585	941	890	326	660	619	689	628	591	550	762	587	594
ENSMUSG00000033491|Prss35	1	0	1	4	5	5	2	0	1	3	1	2
ENSMUSG00000033498|Strc	0	0	0	0	0	1	0	3	0	5	2	0
ENSMUSG00000033499|Larp4b	4544	3944	5652	3550	3989	3996	3669	3753	6107	6390	3676	4247
ENSMUSG00000033501|Crygs	0	2	1	2	0	0	0	3	1	5	3	0
ENSMUSG00000033502|Cdc14a	87	69	92	62	64	70	53	99	102	78	67	69
ENSMUSG00000033508|Asprv1	7	1	3	3	6	1	1	4	4	4	2	3
ENSMUSG00000033510|Otud7a	62	59	58	51	47	63	59	67	61	48	37	61
ENSMUSG00000033526|Ppip5k1	223	193	143	226	201	245	134	139	155	208	213	218
ENSMUSG00000033530|Ttc7b	688	740	811	794	740	691	687	545	916	1000	728	740
ENSMUSG00000033533|Acsm1	16148	14724	9491	10922	12597	13032	12698	11186	11897	13533	11372	13591
ENSMUSG00000033538|Casp4	72	60	60	45	45	72	70	36	70	42	50	46
ENSMUSG00000033540|Idua	339	280	364	361	344	323	321	417	431	381	326	313
ENSMUSG00000033542|Arhgef5	1592	1487	1480	1362	1446	1425	1106	1073	1393	1625	1274	1211
ENSMUSG00000033543|Gtf2a2	937	932	1063	592	694	804	758	693	964	955	732	956
ENSMUSG00000033544|Angptl1	3	2	4	7	3	2	15	3	6	11	3	1
ENSMUSG00000033545|Znrf1	1068	1316	1870	997	982	942	1251	1093	1391	1275	931	1181
ENSMUSG00000033554|Dph5	312	301	326	363	255	301	264	248	410	425	213	257
ENSMUSG00000033557|Fam20b	1389	1479	1623	1539	1323	1472	1363	1382	1810	1772	1266	1532
ENSMUSG00000033565|Rbfox2	1238	1073	1191	1222	1177	980	955	969	1199	1261	1009	1009
ENSMUSG00000033576|Apol6	3	0	0	0	0	3	1	0	4	3	1	0
ENSMUSG00000033577|Myo6	4424	4599	3926	3453	3852	4217	3762	3276	4732	4886	3426	3531
ENSMUSG00000033578|Tmem35	3	2	1	3	9	0	4	8	4	1	1	0
ENSMUSG00000033579|Fa2h	0	0	0	3	0	13	0	0	0	2	0	1
ENSMUSG00000033581|Igf2bp2	65	45	32	78	61	69	42	42	89	56	36	43
ENSMUSG00000033585|Ndn	20	35	22	29	36	47	37	46	38	37	18	24
ENSMUSG00000033589|Reep4	220	268	216	116	174	173	173	192	242	199	181	233
ENSMUSG00000033590|Myo5c	19	23	20	12	24	56	16	20	20	20	23	9
ENSMUSG00000033594|Spata2l	959	821	633	639	610	590	728	545	470	566	754	670
ENSMUSG00000033595|Lgi3	5	11	0	5	3	7	0	1	1	4	7	7
ENSMUSG00000033596|Rfwd3	966	884	795	816	745	817	816	684	891	937	759	788
ENSMUSG00000033597|Caskin1	6	4	12	15	15	10	5	6	6	9	6	4
ENSMUSG00000033610|Pank1	10726	10635	7329	5962	6405	8157	8466	9003	10169	9107	6423	6986
ENSMUSG00000033618|Map3k13	868	459	392	415	618	407	674	341	282	248	582	460
ENSMUSG00000033623|Pcgf3	1784	1645	1858	1133	1522	1368	1611	1328	1744	1636	1593	1478
ENSMUSG00000033624|Pdpr	1426	1447	1865	1247	1009	1159	1408	1530	1669	1500	1070	1187
ENSMUSG00000033628|Pik3c3	986	875	917	522	632	832	891	869	806	820	610	698
ENSMUSG00000033629|Ptplad1	9091	8714	7525	6719	6872	7654	7105	6907	8172	8835	7481	7466
ENSMUSG00000033632|AW554918	147	157	113	88	100	133	132	148	131	118	103	149
ENSMUSG00000033634|Cml2	40320	39706	32555	29411	42152	45175	37105	34437	26112	37636	49715	50069
ENSMUSG00000033644|Piwil2	9	7	7	10	5	8	5	4	5	3	7	5
ENSMUSG00000033653|Vps8	633	621	490	517	578	617	530	489	487	655	584	595
ENSMUSG00000033658|Ddx19b	968	827	1392	905	860	967	798	781	1329	1264	811	1122
ENSMUSG00000033669|Zfp7	66	74	124	106	101	78	117	74	93	117	76	67
ENSMUSG00000033671|Cep350	3180	3228	3729	2658	3023	3023	2672	2409	3576	4063	2699	2850
ENSMUSG00000033676|Gabrb3	43	28	63	56	52	89	69	51	76	81	64	65
ENSMUSG00000033684|Qsox1	17642	12728	10851	15245	16338	18476	13375	11744	12852	14901	15581	19409
ENSMUSG00000033685|Ucp2	578	371	432	417	419	429	445	383	491	444	340	466
ENSMUSG00000033688|1300017J02Rik	23483	22044	22432	19961	19210	20012	20932	19335	22099	23858	19482	21402
ENSMUSG00000033697|Arhgap39	198	225	185	207	174	178	214	145	198	256	166	190
ENSMUSG00000033701|Acbd6	709	697	547	681	565	593	576	668	756	699	541	574
ENSMUSG00000033703|Fuk	578	584	643	574	634	542	455	527	583	641	540	573
ENSMUSG00000033705|Stard9	589	543	605	548	579	516	522	560	646	659	424	532
ENSMUSG00000033706|Smyd5	553	469	353	518	462	475	403	466	490	553	458	456
ENSMUSG00000033707|Lrrc24	227	268	236	282	277	270	199	251	268	304	227	214
ENSMUSG00000033712|2610301G19Rik	1039	947	834	825	873	918	782	922	758	939	826	972
ENSMUSG00000033713|Foxn3	1903	2095	1893	1222	1703	1814	1793	1794	2192	1851	1672	1750
ENSMUSG00000033715|Akr1c14	25330	25987	28511	15053	17055	19775	15809	16234	23177	23554	19275	17977
ENSMUSG00000033720|Sfxn5	2619	2510	1789	2197	1944	2088	1942	1811	1872	2306	1822	1930
ENSMUSG00000033721|Vav3	142	127	129	130	107	126	93	117	154	112	93	99
ENSMUSG00000033722|BC034090	12	14	14	16	10	14	11	15	12	29	14	10
ENSMUSG00000033728|Lrrc14	439	440	534	586	455	437	366	432	573	571	396	453
ENSMUSG00000033730|Egr3	2	0	1	0	1	0	0	0	0	1	1	1
ENSMUSG00000033731|3300002A11Rik	2	2	2	4	0	0	0	0	1	1	1	1
ENSMUSG00000033732|Sf3b3	1581	1435	1449	1513	1469	1536	1133	1269	1646	1703	1407	1654
ENSMUSG00000033735|Spr	2959	3030	2738	2775	2523	2536	2814	2810	3239	3069	2358	2671
ENSMUSG00000033737|Fndc3c1	2	0	0	0	1	0	1	1	2	1	0	0
ENSMUSG00000033739|Fkbpl	154	151	184	191	143	133	117	144	171	242	114	131
ENSMUSG00000033740|St18	0	0	0	0	1	1	0	0	1	0	0	0
ENSMUSG00000033751|Gadd45gip1	1539	1332	1433	1364	1587	1289	1093	1177	1380	1648	1392	1528
ENSMUSG00000033752|Mnd1	134	135	72	103	65	100	119	103	126	141	94	85
ENSMUSG00000033760|Rbm4b	270	291	317	237	215	239	249	202	326	271	227	318
ENSMUSG00000033762|Recql4	112	110	76	73	84	108	85	91	47	80	105	84
ENSMUSG00000033763|Mtss1l	99	101	92	121	110	102	93	104	127	112	112	95
ENSMUSG00000033767|D930015E06Rik	1347	1633	1091	774	964	1148	1531	1072	1146	891	841	877
ENSMUSG00000033768|Nrxn2	29	39	39	48	48	28	32	32	45	37	45	32
ENSMUSG00000033769|Exoc6b	430	387	487	353	350	388	379	333	521	446	324	353
ENSMUSG00000033773|Rpap2	538	528	494	417	436	415	489	434	553	523	381	402
ENSMUSG00000033777|Tlr13	155	85	106	51	103	91	95	56	95	86	89	127
ENSMUSG00000033781|Asb13	1617	1475	1789	1382	1843	1403	1205	1063	1487	2170	1832	1556
ENSMUSG00000033788|Dysf	477	362	387	422	467	315	359	371	350	455	329	394
ENSMUSG00000033790|Tubgcp5	292	240	313	307	313	260	233	258	315	329	223	244
ENSMUSG00000033792|Atp7a	380	310	301	384	295	300	222	293	387	445	286	295
ENSMUSG00000033793|Atp6v1h	2714	2221	1973	1607	1667	2027	1513	1701	1930	2118	1652	1733
ENSMUSG00000033799|BC016423	1274	1062	1650	1169	993	1007	1012	959	1591	1441	945	1026
ENSMUSG00000033805|Ephx4	2	2	2	2	5	15	2	2	5	2	1	4
ENSMUSG00000033808|Tmem87a	761	595	650	612	519	657	565	572	725	823	559	609
ENSMUSG00000033809|Alg3	263	220	170	235	219	257	219	174	179	222	246	255
ENSMUSG00000033813|Tcea1	1901	1891	1985	1562	1461	1554	1541	1393	2139	2051	1417	1560
ENSMUSG00000033819|Ppp1r16a	1108	1114	1075	1049	1224	962	1086	1156	914	1192	1128	1176
ENSMUSG00000033825|Tpsb2	3	0	0	0	3	7	1	0	0	0	0	0
ENSMUSG00000033826|Dnahc8	24	24	18	12	23	20	21	9	25	16	28	17
ENSMUSG00000033831|Fgb	168826	133091	160194	141097	144208	189477	145091	149589	179210	151598	126832	233762
ENSMUSG00000033837|Foxh1	1	1	1	0	0	2	0	1	0	0	2	0
ENSMUSG00000033845|Mrpl15	2622	2413	2598	1985	2103	2072	1627	1912	2392	2706	1990	2060
ENSMUSG00000033847|Pla2g4c	2	3	3	4	0	7	11	0	8	6	3	2
ENSMUSG00000033849|B3galt2	2	1	3	0	0	8	1	0	0	1	1	3
ENSMUSG00000033852|Pla2g4b	209	157	179	286	197	228	138	162	236	243	208	215
ENSMUSG00000033854|Kcnk10	2	2	3	7	12	7	16	6	8	8	7	8
