ovary_CV1	ovary_CV2	ovary_CV3	ovary_CV4	ovary_GF1	ovary_GF2	ovary_GF3	ovary_GF4	ovary_GF5	testis_CV1	testis_CV2	testis_CV3	testis_CV4	testis_GF1	testis_GF2	testis_GF3
ENSMUSG00000040423|Rc3h1	2883	2605	2178	2478	2739	2068	2155	2265	2631	3114	3169	3590	3638	3025	3193	3024
ENSMUSG00000040424|Hipk4	12	22	21	14	20	18	19	15	27	2967	2882	2868	2929	2318	2599	2665
ENSMUSG00000040428|Plekha4	133	155	126	156	138	115	166	161	216	286	285	267	329	293	260	273
ENSMUSG00000040429|Mterf	73	72	85	99	73	54	60	57	65	101	104	114	109	138	121	98
ENSMUSG00000040430|Pitpnc1	532	376	282	356	663	503	415	308	454	168	136	171	191	196	157	154
ENSMUSG00000040432|Ltb4r2	4	2	2	1	1	2	1	0	0	0	0	0	1	1	2	3
ENSMUSG00000040433|Zbtb38	1730	1774	1754	1790	2079	1861	1799	1761	2309	493	437	496	524	430	510	476
ENSMUSG00000040434|Gyltl1b	385	410	369	382	308	333	332	381	334	110	96	108	132	113	134	91
ENSMUSG00000040435|Ppp1r15a	458	518	505	487	434	411	559	421	476	146	137	110	154	143	158	126
ENSMUSG00000040441|Slc26a10	3	4	6	2	0	5	1	3	5	60	61	55	84	50	74	74
ENSMUSG00000040446|Rprd1a	486	446	430	464	520	431	464	476	542	362	322	358	368	338	368	400
ENSMUSG00000040447|Spns2	675	456	290	461	887	424	309	185	397	182	221	218	198	172	220	190
ENSMUSG00000040451|Sgms1	2780	2117	2061	2316	2888	2282	2048	2042	2788	8357	8491	8721	9197	9081	9330	9351
ENSMUSG00000040452|Cdh12	25	12	31	15	33	12	25	32	38	79	69	77	87	57	66	82
ENSMUSG00000040455|Usp45	795	808	783	824	890	675	751	719	850	1292	1265	1383	1332	1422	1627	1548
ENSMUSG00000040456|1700054O13Rik	6	15	2	4	6	9	4	1	4	2418	2468	2781	2453	2323	2341	2298
ENSMUSG00000040459|Arglu1	1323	1348	1202	1214	1450	1232	1253	1312	1219	1233	1126	1090	1126	1056	1204	1179
ENSMUSG00000040462|Os9	2172	2389	2198	2248	2507	1990	2462	2139	2666	1222	1287	1292	1369	1198	1345	1326
ENSMUSG00000040463|Mybbp1a	1844	1811	1375	1614	2084	1780	1623	1836	1757	612	689	696	763	640	749	694
ENSMUSG00000040464|Gtpbp10	446	410	405	399	472	359	396	399	449	327	291	383	329	326	341	373
ENSMUSG00000040466|Blvrb	218	281	249	258	281	211	287	214	325	73	67	53	78	46	59	83
ENSMUSG00000040467|4921522P10Rik	0	1	0	0	0	0	0	0	0	650	550	615	698	651	633	649
ENSMUSG00000040471|Ggt6	16	22	5	11	11	17	8	5	15	0	2	0	1	1	0	2
ENSMUSG00000040472|Rabggta	262	304	262	274	297	252	309	238	279	701	688	651	625	732	793	714
ENSMUSG00000040473|A330021E22Rik	432	350	373	359	448	351	351	423	424	11836	11903	12170	12566	11733	11721	11815
ENSMUSG00000040478|Prdm13	0	0	7	2	0	1	2	1	0	0	1	0	0	0	0	0
ENSMUSG00000040479|Dgkz	895	973	783	834	1115	966	910	764	1055	256	251	236	214	209	256	239
ENSMUSG00000040481|Bptf	3845	3587	3269	3231	4094	3274	3287	3744	4040	3089	3110	3336	3771	3362	3232	3278
ENSMUSG00000040482|Dom3z	230	238	184	223	252	229	218	242	270	714	720	707	783	717	783	738
ENSMUSG00000040483|Xaf1	269	237	166	205	272	193	226	165	322	31	38	28	38	30	52	32
ENSMUSG00000040485|Lrrc52	0	0	0	1	0	1	1	1	0	747	765	811	683	521	641	561
ENSMUSG00000040488|Ltbp4	1880	2747	1343	1411	1023	2252	1802	1338	2769	345	328	386	497	408	360	411
ENSMUSG00000040489|Sox30	8	11	13	9	7	6	5	4	17	3361	3702	3575	3674	3457	3305	3384
ENSMUSG00000040490|Lrfn2	15	10	4	3	14	15	15	11	4	1	1	1	0	0	0	0
ENSMUSG00000040495|Chrm4	74	86	76	75	85	62	52	80	98	219	285	292	239	214	244	225
ENSMUSG00000040498|Igsf23	13	12	12	12	15	7	8	14	19	6	4	3	5	4	7	5
ENSMUSG00000040502|March9	172	151	157	163	175	129	184	164	155	69	71	79	87	87	73	82
ENSMUSG00000040505|Abcg5	4	9	3	3	2	1	4	5	7	4	6	6	1	2	5	1
ENSMUSG00000040506|Ambra1	1109	1029	954	1003	1257	935	1103	1110	1216	1446	1380	1498	1520	1494	1583	1493
ENSMUSG00000040511|Pvr	454	405	362	350	451	380	366	375	415	125	127	141	183	147	124	147
ENSMUSG00000040514|4921511H03Rik	0	0	0	0	0	0	0	0	0	2851	2792	2886	2831	2219	2409	2478
ENSMUSG00000040520|Manea	801	803	607	714	851	627	593	632	849	705	641	672	694	688	704	685
ENSMUSG00000040521|Tsfm	261	254	230	279	266	253	259	258	254	156	127	135	143	140	141	123
ENSMUSG00000040522|Tlr8	99	120	98	90	108	63	151	61	87	13	26	15	11	13	14	16
ENSMUSG00000040524|Zfp609	620	606	444	496	569	578	531	565	717	710	647	782	856	691	679	715
ENSMUSG00000040525|Cblc	37	114	43	17	47	33	25	16	82	0	2	1	2	1	4	2
ENSMUSG00000040528|Gm885	31	42	24	23	42	24	30	14	15	1	3	2	5	2	2	7
ENSMUSG00000040532|Abhd11	315	362	284	344	348	314	353	290	327	930	951	1028	1011	952	979	931
ENSMUSG00000040533|Matn1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040536|Necab1	16	35	28	28	25	24	27	31	29	19	6	15	10	9	12	9
ENSMUSG00000040537|Adam22	506	392	304	326	426	408	313	275	361	370	359	366	350	387	383	360
ENSMUSG00000040540|Gm9770	82	88	69	68	101	86	90	71	92	103	115	107	113	83	107	83
ENSMUSG00000040541|Tmem225	0	0	1	0	1	0	0	1	0	2119	2136	2202	2079	1819	2044	1968
ENSMUSG00000040543|Pitpnm3	228	498	498	594	263	231	541	498	188	68	70	85	84	78	87	101
ENSMUSG00000040548|Tex2	1496	3923	2593	2842	1116	1833	2233	1429	2121	20925	20850	22024	22565	20244	21193	21242
ENSMUSG00000040549|Ckap5	3151	3061	3084	3198	3810	2743	3053	3471	3561	4925	4985	5273	5467	4883	5466	5143
ENSMUSG00000040550|Otud6b	809	912	772	765	867	762	769	777	940	1430	1405	1413	1374	1197	1339	1297
ENSMUSG00000040552|C3ar1	276	342	258	219	227	244	260	129	216	33	22	38	31	31	26	24
ENSMUSG00000040554|Aipl1	6	13	14	13	6	5	12	13	7	19	16	16	24	30	25	37
ENSMUSG00000040557|Wbscr27	328	335	307	341	382	271	328	290	478	112	101	109	115	109	126	88
ENSMUSG00000040560|Wdr7	1022	943	942	1051	1167	917	1063	952	1105	2694	2700	2905	3176	2801	2882	2944
ENSMUSG00000040562|Gstm2	5901	5675	4903	6162	3959	3719	6319	6309	5690	3735	3724	3211	3646	3036	3530	3765
ENSMUSG00000040563|BC018242	108	111	78	112	113	103	90	67	108	291	341	293	273	319	333	309
ENSMUSG00000040564|Apoc1	88	142	82	41	57	72	122	27	93	257	319	211	302	228	332	327
ENSMUSG00000040565|Btaf1	2014	1802	1712	1728	2059	1693	1757	1946	1860	9375	9159	9610	10884	10592	11050	10674
ENSMUSG00000040569|Slc26a7	1359	2287	2320	2639	1959	914	1745	1961	1871	523	516	528	659	486	546	438
ENSMUSG00000040570|Rundc3b	141	152	144	139	171	123	132	155	132	258	270	266	310	248	310	286
ENSMUSG00000040576|Wbscr28	0	0	0	0	2	0	0	1	0	1071	1206	1227	1141	1149	1163	1147
ENSMUSG00000040583|Cyp2b13	49	29	23	42	49	24	30	28	35	50	52	60	57	69	44	55
ENSMUSG00000040584|Abcb1a	886	761	670	733	910	795	838	726	1075	187	194	206	227	199	202	239
ENSMUSG00000040586|Ofd1	490	498	469	414	454	450	451	520	467	335	358	322	382	298	372	366
ENSMUSG00000040591|1110051M20Rik	350	404	388	436	431	329	375	371	496	1388	1460	1399	1553	1290	1445	1379
ENSMUSG00000040592|Cd79b	20	38	24	19	12	19	25	14	11	5	1	2	1	0	2	1
ENSMUSG00000040594|Ranbp17	272	254	224	277	322	256	220	266	333	4530	4794	4664	5123	4598	4794	4632
ENSMUSG00000040596|Pogk	1657	1169	1250	1225	1755	1319	1198	1458	1378	1022	1048	1124	1107	1076	1245	1113
ENSMUSG00000040599|Mis12	532	468	476	513	538	433	483	525	487	350	366	361	419	357	384	391
ENSMUSG00000040600|Eps8l3	5	11	4	8	6	12	5	10	3	1081	993	1039	1212	913	1005	939
ENSMUSG00000040601|Nlrp4a	176	112	181	160	157	110	130	148	178	3	4	9	5	3	12	3
ENSMUSG00000040605|Bace2	761	1558	1124	1445	776	681	977	589	1004	30	40	43	38	33	27	32
ENSMUSG00000040606|Kazn	490	704	486	589	470	540	491	378	483	199	269	247	250	227	283	287
ENSMUSG00000040610|Tlx3	0	2	0	1	0	0	0	0	0	0	1	1	0	1	1	1
ENSMUSG00000040612|Ildr2	1412	1369	1352	1329	1789	1427	1398	1573	1580	50	39	41	58	73	36	47
ENSMUSG00000040613|Apobec1	615	593	617	622	644	545	616	536	369	40	42	37	23	35	46	34
ENSMUSG00000040614|Nlrp9c	101	56	91	90	58	52	60	101	86	2	3	2	2	1	0	2
ENSMUSG00000040616|Tmem51	322	221	242	272	355	227	268	231	245	48	72	58	58	62	58	63
ENSMUSG00000040618|Pck2	754	748	697	803	1096	601	745	755	1118	82	110	53	83	59	62	52
ENSMUSG00000040620|Dhx33	1280	1109	1053	1101	1309	1046	1066	1263	1189	679	640	710	753	708	699	662
ENSMUSG00000040621|Gemin8	129	114	104	139	149	107	150	136	125	81	100	103	103	80	97	87
ENSMUSG00000040624|Plekhg1	911	840	612	661	772	692	690	737	1031	579	529	563	669	568	546	577
ENSMUSG00000040627|Aicda	40	25	43	50	46	39	31	48	60	0	1	0	0	0	2	1
ENSMUSG00000040629|Mael	31	17	25	18	28	21	26	29	18	33832	34485	35389	36073	34517	35899	35553
ENSMUSG00000040631|Dok4	153	188	149	162	184	150	166	207	168	27	32	30	34	11	30	25
ENSMUSG00000040632|Nrl	0	0	0	0	2	0	0	2	0	0	1	2	5	1	1	0
ENSMUSG00000040640|Erc2	43	44	27	43	65	69	49	39	56	164	155	146	141	151	171	155
ENSMUSG00000040648|Ppip5k2	1808	1530	1359	1560	1731	1323	1339	1503	1457	2444	2347	2371	2744	2618	2961	2825
ENSMUSG00000040649|Rimklb	936	725	835	947	1217	602	832	1022	991	4754	4707	5119	5044	4426	4502	4398
ENSMUSG00000040650|Cyp2b23	1	3	4	0	0	0	0	1	2	1	4	5	0	7	4	4
ENSMUSG00000040651|D14Abb1e	3221	3092	2839	2978	2883	2658	2690	2683	2914	3903	3919	4040	4564	3899	4054	3866
ENSMUSG00000040652|Oaz2	1038	1086	956	1091	1120	995	1080	971	1272	2126	2217	2279	2349	2116	2249	2101
ENSMUSG00000040653|Ppp1r14c	89	131	109	96	113	74	73	125	57	20	11	22	18	18	13	16
ENSMUSG00000040657|1700063H04Rik	0	0	0	0	1	0	0	0	0	355	398	392	358	356	357	299
ENSMUSG00000040658|BC048355	103	75	65	75	111	66	70	92	104	95	76	94	116	105	110	99
ENSMUSG00000040659|Efhd2	399	461	368	293	389	387	379	271	500	1429	1562	1540	1647	1324	1367	1436
ENSMUSG00000040660|Cyp2b9	0	1	0	2	0	0	1	0	0	1	2	0	0	1	2	0
ENSMUSG00000040661|Rad54l2	1212	1053	902	1075	1253	1024	1019	1054	1217	1078	995	1014	1183	1124	1132	1137
ENSMUSG00000040663|Clcf1	113	89	66	78	72	145	66	39	112	22	16	28	18	25	27	20
ENSMUSG00000040666|Sh3bgr	193	187	148	171	133	224	157	75	225	21	12	12	24	16	10	13
ENSMUSG00000040667|Nup88	1483	1398	1318	1457	1794	1327	1316	1427	1516	4968	4844	5312	5239	4455	4744	4674
ENSMUSG00000040669|Phc1	387	348	327	309	435	332	331	339	376	3893	3945	4042	4277	3783	3862	3939
ENSMUSG00000040675|Mthfd1l	233	230	168	222	259	250	235	244	225	116	109	97	135	143	166	131
ENSMUSG00000040680|Kremen2	1	1	0	0	1	0	0	0	0	8	12	6	14	11	29	19
ENSMUSG00000040681|Hmgn1	3149	2865	2547	2917	3706	2747	2796	2609	3063	1276	1192	1149	1302	1128	1329	1236
ENSMUSG00000040687|Madd	438	403	312	359	436	359	372	303	468	574	588	627	695	678	686	639
ENSMUSG00000040688|Tbl3	524	554	442	490	624	512	485	509	450	1423	1403	1462	1476	1328	1394	1394
ENSMUSG00000040690|Col16a1	1358	1935	1319	1500	1027	1512	1435	1186	1823	2446	2680	2792	2420	2461	2692	2384
ENSMUSG00000040693|Slco4c1	33	11	7	9	19	9	4	3	6	3	4	7	3	2	2	5
ENSMUSG00000040694|Apobec2	0	74	11	13	0	4	2	1	65	19	20	15	21	17	19	21
ENSMUSG00000040697|Dnajc16	669	639	563	586	698	549	594	622	576	663	663	736	871	692	760	708
ENSMUSG00000040699|Limd2	298	261	254	257	434	266	276	222	299	12109	12425	12565	12890	12381	12786	12240
ENSMUSG00000040701|Ap1g2	175	257	184	196	165	177	202	182	223	32	35	37	37	38	32	38
ENSMUSG00000040703|Cyp2s1	646	505	463	625	878	588	569	749	875	32	34	36	31	27	25	27
ENSMUSG00000040705|A930016O22Rik	0	0	0	1	1	0	1	0	2	1	0	0	0	0	2	2
ENSMUSG00000040706|Agmat	1	2	3	0	2	2	0	5	3	2	4	3	4	1	2	1
ENSMUSG00000040710|St8sia4	288	378	260	267	284	261	251	182	281	14	26	30	35	26	11	13
ENSMUSG00000040711|Sh3pxd2b	1026	1424	940	931	728	1362	842	752	910	17	23	25	24	31	22	18
ENSMUSG00000040712|Camta2	244	232	182	208	219	226	219	217	251	116	159	160	127	162	136	134
ENSMUSG00000040713|Creg1	1035	1088	1104	1037	1265	1069	1180	889	1178	1140	1178	1075	1245	1080	1097	1040
ENSMUSG00000040714|Klc3	59	70	58	70	71	52	62	59	63	705	777	811	772	838	831	768
ENSMUSG00000040715|Rsc1a1	1286	1069	1032	1119	1394	1000	1191	1244	1257	496	525	533	593	540	602	606
ENSMUSG00000040717|Il17rd	1219	825	873	801	1105	829	790	945	849	262	293	285	310	262	307	309
ENSMUSG00000040720|1110037F02Rik	2128	2154	1960	1990	2333	1932	2077	1966	2257	2447	2285	2462	2663	2566	2843	2627
ENSMUSG00000040721|Zfhx2	122	106	59	89	135	100	97	69	131	78	142	158	107	113	113	106
ENSMUSG00000040722|Scamp5	311	354	249	295	299	272	311	280	361	98	84	87	67	85	93	66
ENSMUSG00000040723|Rcsd1	507	370	347	357	424	388	422	392	437	41	55	45	48	43	52	38
ENSMUSG00000040724|Kcna2	89	55	41	50	93	67	61	58	38	2	1	3	2	4	3	2
ENSMUSG00000040725|Hnrnpul1	3040	3086	2673	2978	3562	2683	2831	2948	3547	9284	9673	9685	10566	9590	9903	10081
ENSMUSG00000040726|Hesx1	1	1	1	2	6	2	0	1	2	0	0	3	2	1	1	3
ENSMUSG00000040728|Esrp1	570	535	478	463	377	488	387	359	419	93	72	91	78	84	74	110
ENSMUSG00000040729|AK129341	389	325	344	374	415	272	319	451	375	6846	6940	7344	7819	6895	7101	6972
ENSMUSG00000040731|Eif4h	3357	3616	2952	3372	4087	3302	3428	3363	3854	5390	5256	5620	5662	5467	5539	5347
ENSMUSG00000040732|Erg	235	181	132	153	249	166	202	144	215	37	41	46	38	25	40	34
ENSMUSG00000040734|Ppp1r13l	19	19	22	20	26	22	26	25	20	586	657	604	770	671	597	658
ENSMUSG00000040738|Ints8	1124	1007	908	1023	1143	902	962	1018	1069	895	917	961	991	947	988	924
ENSMUSG00000040740|Slc25a34	55	75	83	76	38	53	76	71	55	55	72	76	60	47	73	87
ENSMUSG00000040746|Rnf167	919	835	813	876	959	792	833	841	1171	1641	1645	1568	1749	1694	1661	1662
ENSMUSG00000040747|Cd53	275	405	317	366	256	241	293	187	281	27	31	31	35	14	15	23
ENSMUSG00000040749|Siah1b	127	110	69	121	136	109	91	107	129	118	130	124	114	120	147	152
ENSMUSG00000040751|Lat2	71	53	59	64	42	52	56	31	44	90	99	124	100	88	137	98
ENSMUSG00000040752|Myh6	6	6	7	6	2	5	5	13	7	48	30	38	35	41	51	44
ENSMUSG00000040759|Cmtm5	6	1	2	2	3	6	1	1	1	0	0	0	1	0	0	0
ENSMUSG00000040760|Appl1	1816	1687	1560	1629	1910	1641	1456	1512	1751	1047	1145	1169	1203	1056	1178	1192
ENSMUSG00000040761|Spen	759	764	524	537	667	688	588	639	797	992	932	1128	1303	1132	1011	1204
ENSMUSG00000040767|Snrnp25	75	85	59	81	94	64	85	76	82	291	356	319	319	298	297	316
ENSMUSG00000040770|Il25	3	2	0	1	2	6	0	0	0	2	0	2	3	3	2	1
ENSMUSG00000040771|AI314976	332	388	297	296	336	335	293	263	392	664	571	642	623	587	673	613
ENSMUSG00000040774|Cept1	761	888	710	755	845	648	748	816	788	139	139	151	156	150	174	145
ENSMUSG00000040775|Gm9772	0	0	0	2	2	1	1	0	3	1	0	1	2	0	0	0
ENSMUSG00000040782|Rfwd2	1571	1420	1471	1574	1788	1251	1529	1492	1573	2591	2597	2630	2830	2654	2969	2695
ENSMUSG00000040785|Ttc3	6643	5519	5441	5609	6928	5168	5305	5830	6308	2078	2061	2211	2283	2205	2310	2254
ENSMUSG00000040794|C1qtnf4	28	18	35	16	32	29	21	23	16	4201	4481	4632	4604	4214	4409	4356
ENSMUSG00000040795|Iqcc	386	390	341	396	443	315	369	392	422	690	726	708	778	699	801	759
ENSMUSG00000040797|Iqsec3	7	2	3	4	3	10	2	1	6	10	11	11	13	13	10	14
ENSMUSG00000040808|S100g	486	185	125	125	78	253	102	44	203	0	1	0	0	0	0	0
ENSMUSG00000040809|Chi3l3	2	9	13	12	5	6	17	0	4	61	46	58	49	48	50	48
ENSMUSG00000040811|Eml2	342	422	321	379	395	367	432	395	465	196	199	203	219	213	195	197
ENSMUSG00000040812|Agbl2	147	98	126	118	118	110	110	142	123	3622	3810	3992	3990	3890	4057	3779
ENSMUSG00000040813|Tex264	540	615	537	542	648	521	560	481	522	1033	1110	1162	1165	1080	1215	1129
ENSMUSG00000040818|Fam116a	1676	1544	1451	1524	1646	1283	1312	1304	1407	486	497	471	536	457	496	518
ENSMUSG00000040820|Hlcs	328	375	307	330	378	309	345	281	403	124	118	136	149	132	135	137
ENSMUSG00000040822|1700123O20Rik	376	412	319	372	474	352	342	338	359	518	526	518	582	535	572	517
ENSMUSG00000040824|Snrpd2	556	655	515	559	786	575	586	593	586	2452	2432	2641	2470	2343	2458	2337
ENSMUSG00000040828|Tmem146	19	17	25	25	29	17	19	31	24	3496	3581	3592	3796	3864	4044	3801
ENSMUSG00000040829|Zmynd15	81	95	55	72	53	69	65	55	95	5441	5408	5777	6084	5530	5474	5635
ENSMUSG00000040836|Gpr161	167	160	124	103	132	104	140	135	131	16	14	20	23	18	21	24
ENSMUSG00000040838|Gm11639	13	9	10	9	12	11	2	12	12	1191	1072	1294	1169	960	1042	1172
ENSMUSG00000040840|4930579G18Rik	5	2	6	6	5	5	9	9	14	26	40	28	42	42	56	46
ENSMUSG00000040841|Six5	517	384	364	438	499	399	442	454	572	35	42	38	37	35	41	32
ENSMUSG00000040842|Szrd1	1190	1432	1157	1264	1318	1241	1257	1221	1311	644	632	630	721	649	638	616
ENSMUSG00000040843|Tiprl	539	458	430	471	526	426	476	480	510	2125	2121	2203	2316	2120	2123	2196
ENSMUSG00000040848|Sft2d2	1946	1978	1607	1738	2017	1592	1754	1484	1998	610	574	607	605	587	614	587
ENSMUSG00000040850|Psme4	4185	3688	3332	3532	4191	3418	3392	3343	3483	27982	27938	29716	30727	27936	29282	28877
ENSMUSG00000040852|Plekhh2	611	602	507	490	472	548	439	366	554	2963	3055	3257	3383	3930	4095	4020
ENSMUSG00000040855|Reps2	544	643	523	617	455	383	539	510	568	224	194	200	243	185	219	223
ENSMUSG00000040856|Dlk1	9	13	10	12	5	18	13	10	81	10	3	12	8	7	6	10
ENSMUSG00000040857|Erf	447	399	318	398	382	411	394	362	444	535	540	591	562	573	662	583
ENSMUSG00000040859|Bsdc1	1571	1123	941	1063	1222	1127	1053	827	1239	2274	2282	2385	2518	2123	2049	2020
ENSMUSG00000040860|Crocc	574	742	637	693	494	507	558	495	563	263	269	277	337	309	325	330
ENSMUSG00000040865|Ino80d	2046	1816	1620	1697	2031	1683	1756	1777	2088	540	583	612	678	674	578	627
ENSMUSG00000040866|Rsph6a	2	1	0	0	2	0	3	2	2	5576	5770	5836	6291	5882	6119	6099
ENSMUSG00000040867|Begain	36	38	25	31	29	54	41	28	36	51	47	30	47	43	42	48
ENSMUSG00000040875|Osbpl10	160	98	87	118	105	105	84	81	107	2662	2743	2886	2798	2483	2466	2674
ENSMUSG00000040877|Wdr25	94	80	97	112	102	101	79	80	108	164	170	164	190	161	213	171
ENSMUSG00000040883|Tmem205	346	375	335	345	460	331	419	330	445	1890	2053	2024	1977	2033	2383	2148
ENSMUSG00000040888|Gfer	304	279	264	265	309	215	250	285	249	2209	2371	2640	2444	2222	2154	2125
ENSMUSG00000040891|Foxa3	9	32	21	36	13	14	15	57	11	62	69	51	60	80	72	63
ENSMUSG00000040896|Kcnd3	758	812	597	825	637	691	620	599	855	250	264	257	288	240	261	284
ENSMUSG00000040899|Ccr6	0	1	0	0	1	3	2	2	1	83	120	87	91	111	89	91
ENSMUSG00000040901|Kcnk18	8	6	13	9	4	1	11	6	13	0	0	0	2	0	0	0
ENSMUSG00000040904|Rnasek	602	685	467	570	590	573	703	585	658	511	562	545	531	490	537	533
ENSMUSG00000040907|Atp1a3	241	129	62	174	148	157	107	43	130	6	5	4	3	4	2	6
ENSMUSG00000040913|Fbxw4	229	208	236	206	250	225	247	238	288	175	169	176	170	171	160	177
ENSMUSG00000040918|Slc19a2	366	313	331	356	408	294	309	374	348	653	725	757	774	718	754	664
ENSMUSG00000040919|4930505A04Rik	18	13	15	14	7	17	8	15	10	3022	2994	3008	2953	2578	2669	2645
ENSMUSG00000040928|S100pbp	1369	1104	1051	1081	1383	1060	1087	1149	1261	1817	1973	1937	2060	1890	1939	1954
ENSMUSG00000040929|Rfx3	771	615	561	673	714	578	540	757	771	1183	1139	1307	1364	1072	1131	1183
ENSMUSG00000040935|Padi6	1164	682	923	922	905	621	702	971	931	120	139	146	124	188	210	166
ENSMUSG00000040936|Ulk4	436	393	357	397	392	302	364	392	386	9788	10070	10306	10485	10239	10502	10022
ENSMUSG00000040938|Slc16a11	63	85	64	79	49	144	45	32	45	12	19	17	18	12	14	15
ENSMUSG00000040940|Arhgef1	730	706	544	621	738	625	724	657	834	171	225	221	234	200	211	263
ENSMUSG00000040943|Tet2	1576	1606	1444	1404	1695	1408	1449	1318	1800	148	122	127	159	127	163	147
ENSMUSG00000040945|Rcc2	1906	1588	1443	1722	2154	1779	1644	1850	1794	1540	1594	1577	1705	1636	1539	1641
ENSMUSG00000040950|Mgl2	158	286	187	236	125	167	319	163	285	14	15	19	22	17	13	20
ENSMUSG00000040952|Rps19	4231	4525	3943	4153	5459	4092	4156	3976	4616	1338	1358	1527	1427	1286	1451	1329
ENSMUSG00000040957|Cables1	1222	959	1388	1465	2458	737	1361	1355	1267	53	49	42	38	37	42	56
ENSMUSG00000040963|Asgr2	49	26	36	34	19	17	23	24	27	4	4	5	4	5	4	5
ENSMUSG00000040964|Arhgef10l	498	430	339	411	472	523	359	283	430	366	320	331	358	345	350	362
ENSMUSG00000040966|Slc22a2	2	2	0	1	2	0	0	1	1	0	0	0	0	2	1	2
ENSMUSG00000040969|Arhgef38	162	237	113	148	111	146	95	99	154	3	12	2	7	14	5	7
ENSMUSG00000040972|Igsf21	1	3	4	5	4	1	5	1	10	11	13	3	5	18	26	15
ENSMUSG00000040978|Gm11992	75	67	59	62	88	58	74	74	73	1807	1819	1782	1878	1549	1565	1658
ENSMUSG00000040985|Sun3	2	0	1	0	0	0	1	3	2	2496	2492	2580	2479	2272	2386	2362
ENSMUSG00000040987|Mill2	56	77	51	58	52	67	73	55	86	16	12	7	20	3	9	7
ENSMUSG00000040990|Sh3kbp1	848	848	755	788	826	844	697	683	854	1240	1463	1476	1348	1163	1212	1175
ENSMUSG00000040997|Abhd4	2686	1923	1765	2154	4029	1872	2125	2192	2821	5487	5550	5610	5697	5047	5536	5228
ENSMUSG00000040998|Npnt	558	361	207	358	465	350	292	239	396	44	33	45	64	42	39	53
ENSMUSG00000041000|Trim62	157	148	127	137	149	152	164	179	198	125	122	141	125	148	159	130
ENSMUSG00000041009|Iqcf4	0	0	2	0	0	1	0	0	0	4683	4753	4881	4891	4354	4701	4505
ENSMUSG00000041012|Cmtm8	142	168	162	175	124	147	133	126	135	3	6	7	6	13	8	9
ENSMUSG00000041014|Nrg3	1	1	0	2	0	3	2	2	1	45	57	46	61	56	43	64
ENSMUSG00000041020|Mtap7d2	29	25	22	29	48	34	42	33	38	128	134	122	127	117	139	124
ENSMUSG00000041025|Iffo2	464	367	298	304	540	445	333	374	353	84	90	89	80	94	89	72
ENSMUSG00000041028|Ghitm	3201	2780	2427	2573	3603	2600	2920	2636	3041	5368	5650	5973	5775	5403	5469	5562
ENSMUSG00000041035|Dpcd	221	211	236	235	236	196	222	214	248	771	829	793	856	779	834	781
ENSMUSG00000041037|Irgq	547	485	362	455	551	513	484	453	504	117	128	116	136	103	113	122
ENSMUSG00000041040|Fam117b	1022	904	849	1064	1206	789	954	963	1013	2016	2067	2140	2330	2066	2170	2146
ENSMUSG00000041044|Lrit1	0	0	0	0	0	1	0	0	0	5	2	2	8	7	5	6
ENSMUSG00000041046|Ramp3	126	307	127	131	43	244	134	87	54	90	80	93	79	109	113	89
ENSMUSG00000041052|Slc7a13	1	0	1	2	0	0	1	0	5	4	1	0	4	3	2	0
ENSMUSG00000041057|Wdr43	1640	1492	1362	1385	1705	1431	1314	1615	1266	599	556	605	574	548	639	551
ENSMUSG00000041058|Wwp1	2152	2119	1698	1768	1755	1591	1607	1487	2560	1567	1499	1421	1626	1346	1504	1531
ENSMUSG00000041062|Mslnl	4	3	1	2	5	2	2	3	5	18	10	12	13	23	19	29
ENSMUSG00000041064|Pif1	91	68	80	60	148	66	75	99	114	27	24	32	18	26	35	20
ENSMUSG00000041068|4930596D02Rik	0	0	0	0	0	0	1	0	0	618	619	652	553	442	563	501
ENSMUSG00000041073|Nacad	73	80	51	43	71	73	31	58	64	28	29	27	28	27	23	47
ENSMUSG00000041075|Fzd7	465	421	408	437	475	425	378	417	544	54	64	84	104	92	78	86
ENSMUSG00000041078|Grid1	24	18	21	24	31	25	32	34	44	73	64	57	75	65	92	63
ENSMUSG00000041079|Rwdd2b	102	113	91	115	122	124	109	77	106	97	120	102	111	135	118	142
ENSMUSG00000041084|Ostc	979	1158	1029	1059	1094	1052	1104	1033	1067	521	495	468	576	482	543	511
ENSMUSG00000041096|Tspyl2	892	704	781	803	860	726	808	690	847	662	697	721	764	605	738	751
ENSMUSG00000041112|Elmo1	1317	869	888	986	1417	972	819	775	921	966	1074	1077	1112	889	876	927
ENSMUSG00000041115|Iqsec2	281	279	206	238	252	227	235	252	325	47	54	47	51	58	51	62
ENSMUSG00000041117|Ccdc8	911	843	737	901	951	763	968	1141	1028	76	78	87	102	88	90	82
ENSMUSG00000041119|Pde9a	71	182	146	179	91	114	129	134	58	43	47	51	48	35	30	36
ENSMUSG00000041120|Nbl1	1020	1211	811	801	1113	1150	852	614	1208	76	60	114	98	74	65	89
ENSMUSG00000041124|8430410K20Rik	1131	1021	966	977	1097	1010	951	842	947	367	354	373	463	411	401	387
ENSMUSG00000041126|H2afv	571	572	540	620	701	545	599	678	694	395	417	418	444	397	419	454
