"","Gene_name","Sample_CTR1_liver_ZT02","Sample_CTR1_liver_ZT06","Sample_CTR1_liver_ZT10","Sample_CTR1_liver_ZT14","Sample_CTR1_liver_ZT18","Sample_CTR1_liver_ZT22","Sample_CTR2_liver_ZT02","Sample_CTR2_liver_ZT06","Sample_CTR2_liver_ZT10","Sample_CTR2_liver_ZT14","Sample_CTR2_liver_ZT18","Sample_CTR2_liver_ZT22"
"11411","ENSMUSG00000039055|Eme1",6,2,4,6,7,10,12,5,10,1,14,12
"11415","ENSMUSG00000039062|Anpep",3367,2865,3233,3606,2900,3451,2484,3155,5081,2858,2634,3069
"11416","ENSMUSG00000039063|Echdc3",2803,2275,2097,2059,1734,2266,2724,3446,3695,1875,2053,1842
"11417","ENSMUSG00000039065|Fam173b",706,616,478,479,604,569,511,641,882,474,563,472
"11418","ENSMUSG00000039067|Psmd7",1565,1414,1315,1374,1400,1609,1639,1735,2974,1426,1504,1318
"11419","ENSMUSG00000039068|Zzz3",1756,1718,1982,2314,1753,1865,1860,1762,4389,1836,1643,1602
"11420","ENSMUSG00000039069|Gtpbp5",733,622,463,565,654,638,637,733,1005,502,654,567
"11423","ENSMUSG00000039081|Zfp503",98,131,122,92,78,101,122,133,239,54,97,103
"11424","ENSMUSG00000039084|Chad",11,5,6,1,13,4,8,8,2,2,3,4
"11425","ENSMUSG00000039086|Ss18l1",286,243,240,321,243,225,251,242,586,279,230,235
"11426","ENSMUSG00000039087|Rreb1",2215,1565,1221,1433,1785,1407,1800,1381,2251,1566,2031,1202
"11427","ENSMUSG00000039089|L3mbtl3",495,314,280,398,532,314,429,280,710,409,606,226
"11430","ENSMUSG00000039096|Rsad1",251,229,166,208,152,163,123,161,296,187,173,143
"11433","ENSMUSG00000039099|Wdr93",23,15,21,51,20,27,25,38,16,29,26,15
"11434","ENSMUSG00000039100|March6",8083,8874,8410,9392,8266,8964,6999,9542,13342,6728,8071,7141
"11435","ENSMUSG00000039103|Nexn",40,32,22,22,20,26,27,28,63,25,22,15
"11436","ENSMUSG00000039105|Atp6v1g1",1654,1500,1403,1577,1717,2050,1804,2034,3561,1505,1686,1598
"11438","ENSMUSG00000039108|Lsm14b",1053,979,957,1048,979,915,833,969,1854,856,955,804
"11439","ENSMUSG00000039109|F13a1",8,17,22,10,8,28,20,25,29,29,4,10
"11440","ENSMUSG00000039110|Mycbpap",15,1,5,7,1,7,6,3,10,3,3,9
"11441","ENSMUSG00000039114|Nrn1",8146,7571,7004,7978,5915,8038,7910,9401,14558,6097,5638,5671
"11442","ENSMUSG00000039115|Itga9",1719,1774,1610,1647,1597,1776,1386,2191,3055,1457,1727,1497
"11443","ENSMUSG00000039116|Gpr126",112,116,103,109,83,113,120,162,184,97,92,80
"11444","ENSMUSG00000039117|Taf4a",534,530,457,473,505,459,420,454,760,384,496,344
"11445","ENSMUSG00000039126|Prune2",21,15,20,17,11,46,5,22,35,24,16,27
"11446","ENSMUSG00000039128|Cdc123",1174,1150,1190,1342,1141,1318,1141,1226,2585,1156,1209,1051
"11447","ENSMUSG00000039130|Zc3hc1",361,367,277,319,360,400,342,425,675,336,367,352
"11448","ENSMUSG00000039131|Gipc2",19,11,12,7,10,16,8,8,10,5,5,9
"11450","ENSMUSG00000039137|Whrn",44,30,55,60,67,26,22,13,83,43,101,31
"11452","ENSMUSG00000039145|Camk1d",3725,4002,2447,1330,1643,4920,4550,6397,3103,1539,1111,2713
"11454","ENSMUSG00000039148|Sart1",1343,1115,1010,1135,1110,1060,1145,1101,1985,991,1176,859
"11455","ENSMUSG00000039153|Runx2",6,10,15,15,2,13,9,19,15,2,14,12
"11458","ENSMUSG00000039156|Stim2",1355,1319,1749,1682,1329,1313,1307,1418,3538,1604,1622,1070
"11459","ENSMUSG00000039157|Fam102a",880,741,1287,1528,1003,599,690,647,1957,1147,1229,589
"11460","ENSMUSG00000039158|Akna",162,163,120,150,135,171,116,234,228,112,178,143
"11461","ENSMUSG00000039159|Ube2h",2785,3231,3727,2800,2441,2780,2551,4172,5937,2243,2744,2597
"11462","ENSMUSG00000039163|Cmc1",336,357,320,348,339,367,314,463,674,304,315,306
"11463","ENSMUSG00000039164|Naif1",206,135,150,237,252,203,192,151,245,165,251,168
"11464","ENSMUSG00000039166|Akap7",288,259,249,279,146,301,231,363,455,247,147,221
"11465","ENSMUSG00000039167|Eltd1",1020,1027,1119,1201,1185,1202,1099,1343,2271,1025,1063,1028
"11466","ENSMUSG00000039168|Dap",3549,3192,3000,3153,3242,4466,3033,4093,5322,3255,3277,3564
"11468","ENSMUSG00000039176|Polg",2382,2300,2139,2657,2068,2014,2371,2434,4228,2118,2357,1893
"11469","ENSMUSG00000039178|Tbc1d19",130,110,85,76,42,138,110,128,98,77,63,91
"11471","ENSMUSG00000039182|AW209491",651,360,360,515,459,384,661,395,903,557,515,331
"11472","ENSMUSG00000039183|Nubp2",942,807,677,961,1073,842,969,809,1570,845,1200,938
"11473","ENSMUSG00000039187|Fanci",16,4,8,13,9,30,17,6,16,15,14,19
"11474","ENSMUSG00000039191|Rbpj",469,499,462,509,418,538,476,621,1016,485,479,446
"11475","ENSMUSG00000039193|Nlrc4",30,44,23,31,21,26,25,30,30,20,32,24
"11477","ENSMUSG00000039195|1110008P14Rik",417,421,277,350,417,437,304,392,509,314,438,507
"11478","ENSMUSG00000039196|Orm1",29334,43282,16594,18217,22369,90858,18917,62118,37877,23321,22178,67288
"11479","ENSMUSG00000039197|Adk",25387,20386,20864,24864,17846,20203,21908,22385,43162,21810,18094,16951
"11481","ENSMUSG00000039199|Zdhhc1",66,61,55,61,55,73,51,69,99,60,69,34
"11483","ENSMUSG00000039201|Tbc1d25",196,104,96,131,200,96,169,111,210,152,179,88
"11484","ENSMUSG00000039202|Abhd2",3686,3512,4081,4356,4241,5397,4752,6725,7483,3665,4926,3659
"11485","ENSMUSG00000039205|Ciz1",845,686,547,661,716,701,595,641,955,578,840,593
"11486","ENSMUSG00000039206|Daglb",1744,1907,1511,1664,1411,1880,1650,2267,2629,1435,1469,1722
"11487","ENSMUSG00000039208|Metrnl",112,77,83,150,98,111,120,100,248,125,126,98
"11489","ENSMUSG00000039210|Gpatch2",1093,771,758,889,874,846,1025,858,1559,781,898,743
"11491","ENSMUSG00000039217|Il18",192,258,278,258,176,297,243,331,570,282,164,241
"11492","ENSMUSG00000039218|Srrm2",5203,4299,4515,4756,4394,4321,4942,4767,7764,4172,4259,3244
"11493","ENSMUSG00000039219|Arid4b",1456,1187,1283,1537,1179,1274,1277,1325,2561,1253,1240,1046
"11494","ENSMUSG00000039220|Ppp1r10",2162,1266,2145,2765,2162,951,1822,1219,2431,2573,2311,1365
"11495","ENSMUSG00000039221|Rpl22l1",1120,750,737,913,747,964,1005,952,2185,968,694,647
"11497","ENSMUSG00000039230|Tbcd",1579,1456,1336,1334,1198,1621,1379,1553,2402,1232,1337,1326
"11498","ENSMUSG00000039231|Suv39h1",195,209,278,288,212,269,227,318,461,209,229,215
"11499","ENSMUSG00000039232|Stx11",21,40,20,33,20,40,40,40,57,26,32,37
"11500","ENSMUSG00000039233|Tbce",797,743,697,703,557,800,745,927,1517,638,543,623
"11501","ENSMUSG00000039234|Sec24d",5629,3872,2263,4215,4837,3137,4065,4347,6594,4673,4828,3329
"11502","ENSMUSG00000039236|Isg20",95,44,26,30,38,32,63,66,57,57,70,33
"11503","ENSMUSG00000039238|Zfp750",277,206,308,178,297,208,196,264,553,266,268,215
"11504","ENSMUSG00000039239|Tgfb2",40,38,23,13,13,30,31,40,47,27,25,19
"11505","ENSMUSG00000039242|B3galnt2",1329,992,977,1349,1401,1046,1409,1118,2149,1216,1314,898
"11506","ENSMUSG00000039244|E130309D02Rik",639,567,587,732,653,475,567,556,1211,644,685,490
"11507","ENSMUSG00000039246|Lyplal1",766,565,443,370,375,651,489,724,812,397,503,455
"11508","ENSMUSG00000039252|Lgi2",7,4,4,2,13,9,12,4,9,11,0,6
"11509","ENSMUSG00000039253|Fn3krp",617,472,421,442,482,495,424,612,747,438,434,444
"11510","ENSMUSG00000039254|Pomt1",873,713,534,523,623,684,652,927,772,513,618,616
"11512","ENSMUSG00000039262|Prrc2b",2904,2844,2699,2538,2771,2508,2482,2717,4737,2471,2953,1787
"11513","ENSMUSG00000039263|Npepl1",2006,1742,1750,2117,1872,1696,1870,1991,3840,1909,2008,1612
"11514","ENSMUSG00000039264|Gimap3",24,29,29,35,16,41,34,69,40,14,18,25
"11516","ENSMUSG00000039270|Megf9",1726,1438,1331,1739,1537,1837,1314,1719,2783,1619,1267,1318
"11517","ENSMUSG00000039275|Foxk2",1219,822,962,1139,997,821,1274,861,2096,1069,1081,667
"11519","ENSMUSG00000039285|Azi2",1810,1961,2191,2464,1587,2182,1896,2263,4738,2005,1579,1655
"11520","ENSMUSG00000039286|Fndc3b",2609,2005,1062,1449,2319,2389,1379,1956,2339,1896,2092,2195
"11521","ENSMUSG00000039294|BC017643",396,280,245,313,299,277,299,273,468,286,321,271
"11523","ENSMUSG00000039298|Cdk5rap2",367,386,368,326,283,425,349,467,485,234,283,322
"11524","ENSMUSG00000039304|Tnfsf10",348,377,368,306,220,441,260,579,741,302,324,323
"11525","ENSMUSG00000039307|Hexdc",238,262,245,228,194,281,193,277,442,202,208,203
"11526","ENSMUSG00000039308|Ndst2",839,895,742,770,809,905,704,936,1620,723,825,794
"11529","ENSMUSG00000039316|Rftn1",118,172,113,95,125,128,149,200,212,101,107,104
"11530","ENSMUSG00000039318|Rab3gap2",1579,1372,1290,1194,1364,1334,1389,1638,2462,1350,1344,1100
"11532","ENSMUSG00000039323|Igfbp2",13685,11525,12254,13258,16970,10206,18836,13666,32439,13869,11848,6701
"11533","ENSMUSG00000039328|Rnf122",17,24,18,34,21,32,23,29,49,20,24,22
"11540","ENSMUSG00000039345|Mettl22",261,237,210,250,204,180,267,284,451,227,204,157
"11541","ENSMUSG00000039347|Atp6v0e2",40,29,19,21,29,26,39,28,36,29,20,25
"11542","ENSMUSG00000039349|C130074G19Rik",6176,7041,5758,5539,6062,6841,5647,7415,11394,4737,6622,6011
"11543","ENSMUSG00000039354|Smarcal1",602,532,462,458,590,572,554,663,763,478,575,490
"11544","ENSMUSG00000039356|Exosc2",423,356,294,390,395,412,337,417,698,419,442,368
"11545","ENSMUSG00000039357|Fut11",298,145,166,248,224,224,229,204,440,185,267,159
"11547","ENSMUSG00000039361|Picalm",5224,4725,6078,6877,4881,4856,5120,5099,11513,5458,5006,4542
"11548","ENSMUSG00000039364|Sectm1b",17,9,13,12,16,11,1,1,8,2,3,6
"11549","ENSMUSG00000039367|Sec24c",5007,3506,2774,3383,4152,3580,4211,3828,5524,3733,4358,3104
"11552","ENSMUSG00000039376|Synpo2l",3,3,9,5,6,6,1,4,13,6,1,2
"11553","ENSMUSG00000039377|Hlx",102,126,115,116,141,127,98,172,197,125,153,88
"11554","ENSMUSG00000039382|Wdr45",1056,1235,1280,1405,1042,1010,1123,1386,3074,1150,1091,1006
"11555","ENSMUSG00000039384|Dusp10",224,207,148,148,198,217,222,270,278,143,267,208
"11556","ENSMUSG00000039385|Cdh6",10,7,7,3,12,8,10,9,10,7,10,3
"11558","ENSMUSG00000039395|Mreg",2334,2509,1658,2017,2480,2670,3062,2734,3322,1672,2599,2083
"11559","ENSMUSG00000039396|Neil3",1,2,5,8,5,21,14,7,10,11,4,7
"11560","ENSMUSG00000039405|Prss23",249,262,208,176,119,330,251,254,326,166,123,238
"11561","ENSMUSG00000039410|Prdm16",41,22,23,35,33,34,24,31,32,35,52,21
"11562","ENSMUSG00000039414|Heatr5b",989,694,753,808,840,760,824,819,1482,896,839,763
"11564","ENSMUSG00000039427|Alg1",805,757,706,841,729,737,759,841,1339,666,807,755
"11565","ENSMUSG00000039428|Tmem135",4613,4248,3983,3985,3816,4432,4523,5681,7929,4083,3741,3241
"11566","ENSMUSG00000039431|Mtmr7",104,110,98,79,159,95,78,127,175,97,122,79
"11567","ENSMUSG00000039438|Ttc36",12191,13418,10949,13609,11959,11828,12833,17253,24481,11249,14121,10343
"11568","ENSMUSG00000039449|Prpf18",1442,1673,1611,1799,1424,1643,1320,1861,3393,1314,1344,1311
"11569","ENSMUSG00000039450|Dcxr",3035,2997,2289,3092,2512,2565,2763,4225,4473,2363,2864,2209
"11570","ENSMUSG00000039452|Snx22",228,81,131,92,211,138,166,185,85,94,164,120
"11571","ENSMUSG00000039456|Morc3",940,686,894,1307,873,812,873,758,2444,1130,807,603
"11572","ENSMUSG00000039457|Ppl",1019,586,764,526,969,690,642,1105,1418,954,1262,543
"11573","ENSMUSG00000039458|Mtmr12",447,428,386,468,445,374,525,488,863,491,530,353
"11574","ENSMUSG00000039461|Tcta",663,668,412,627,927,741,721,786,1010,544,925,588
"11576","ENSMUSG00000039463|Slc9a8",1116,1045,985,971,845,1162,1144,1243,2162,1086,887,888
"11577","ENSMUSG00000039470|Zdhhc2",88,63,78,69,70,106,60,77,153,58,80,62
"11578","ENSMUSG00000039473|Ubn1",1727,1454,1433,1765,1525,1469,1516,1574,2998,1522,1418,1264
"11579","ENSMUSG00000039474|Wfs1",703,350,240,357,434,298,473,379,533,547,469,292
"11581","ENSMUSG00000039477|Tnrc18",1321,933,704,951,990,840,829,794,1281,897,1230,528
"11582","ENSMUSG00000039478|Efha2",106,128,166,179,115,119,108,106,334,171,111,126
"11583","ENSMUSG00000039480|Nt5dc1",818,747,820,923,637,912,806,965,1512,712,620,726
"11584","ENSMUSG00000039481|Nrtn",13,20,24,34,33,20,18,22,57,35,33,21
"11585","ENSMUSG00000039483|Asb6",378,297,286,410,348,286,366,332,620,297,422,313
"11586","ENSMUSG00000039485|Tspyl4",260,246,102,105,227,242,191,352,151,133,301,143
"11589","ENSMUSG00000039496|Cdnf",12,9,10,16,15,13,14,20,29,14,15,21
"11590","ENSMUSG00000039497|Dse",727,769,650,797,761,854,810,982,1228,644,719,672
"11591","ENSMUSG00000039501|Znfx1",4114,3095,2892,3257,2801,3237,3196,3067,5509,2847,3509,2721
"11593","ENSMUSG00000039509|Nup133",576,485,578,507,403,567,553,645,1093,492,454,497
"11594","ENSMUSG00000039512|Uhrf1bp1",1448,1170,1278,1435,1353,1209,1291,1299,2928,1340,1711,1073
"11595","ENSMUSG00000039515|Ppp2r4",1612,1528,1200,1421,1630,1553,1559,1781,2539,1260,1755,1488
"11597","ENSMUSG00000039519|Cyp7b1",26381,23376,15601,16610,18762,21929,15924,15142,37027,16101,16214,17580
"11599","ENSMUSG00000039523|BC046331",286,241,307,328,320,260,305,221,626,303,308,256
"11600","ENSMUSG00000039529|Atp8b1",3268,3408,2723,2248,3139,3774,3529,3800,6177,2719,3286,3208
"11601","ENSMUSG00000039530|Tusc3",459,382,327,323,244,319,391,391,569,297,287,299
"11602","ENSMUSG00000039531|Zufsp",215,226,158,165,166,203,150,244,333,155,137,184
"11603","ENSMUSG00000039533|Mmd2",96,333,173,42,65,248,110,422,172,46,138,203
"11604","ENSMUSG00000039536|Stau1",2421,2038,2089,2125,2068,1986,2184,2363,3783,2105,2102,1695
"11607","ENSMUSG00000039542|Ncam1",12,11,11,9,6,13,11,17,14,16,6,12
"11613","ENSMUSG00000039556|Ppp1r3f",457,504,433,512,623,513,509,506,990,480,649,463
"11614","ENSMUSG00000039563|2210406O10Rik",11,17,13,19,22,16,11,19,30,18,15,11
"11615","ENSMUSG00000039568|Fam100a",386,348,324,288,395,320,397,401,516,287,379,271
"11619","ENSMUSG00000039585|Myo9a",592,860,790,866,500,978,666,1022,1470,636,536,803
"11620","ENSMUSG00000039599|Fam149b",924,819,719,794,848,846,748,896,1398,732,815,695
"11621","ENSMUSG00000039601|Rcan2",157,199,191,176,188,215,118,326,343,163,235,204
"11622","ENSMUSG00000039607|Rbms3",446,410,396,375,316,471,450,478,706,313,264,308
"11624","ENSMUSG00000039611|Tmem246",13,22,21,18,17,16,20,22,46,25,19,14
"11625","ENSMUSG00000039615|Stub1",1463,1602,1447,1728,1654,1659,1647,1817,3223,1467,1680,1493
"11626","ENSMUSG00000039616|Mocos",2673,2600,1749,1794,2115,2675,2420,3652,3480,1862,2282,2197
"11627","ENSMUSG00000039617|Gm7488",69,64,44,56,43,49,45,53,95,40,36,44
"11628","ENSMUSG00000039620|6430573F11Rik",150,190,108,109,120,170,234,262,172,81,118,179
"11629","ENSMUSG00000039621|Prex1",338,525,431,443,335,504,458,559,701,356,414,436
"11630","ENSMUSG00000039623|C330006K01Rik",416,410,348,326,451,393,307,401,624,316,438,356
"11631","ENSMUSG00000039628|Hs3st6",47,49,29,27,58,38,41,37,79,22,62,45
"11632","ENSMUSG00000039629|Fam40b",14,4,3,3,6,5,3,6,6,6,6,6
"11633","ENSMUSG00000039630|Hnrnpu",9083,9285,8413,8198,8432,9199,8305,10500,14814,7582,8295,6792
"11634","ENSMUSG00000039632|Ccdc151",62,45,29,64,84,63,38,26,42,68,107,69
"11635","ENSMUSG00000039633|Lonrf1",356,152,406,520,321,207,277,203,998,330,365,177
"11636","ENSMUSG00000039634|Zfp189",253,230,345,490,332,327,362,270,739,455,293,295
"11637","ENSMUSG00000039637|Coro7",452,536,470,534,492,604,504,750,810,524,485,422
"11639","ENSMUSG00000039640|Mrpl12",1380,1192,1553,1532,1470,1463,1619,1780,3082,2046,1586,1241
"11640","ENSMUSG00000039646|Vasn",591,280,363,565,437,320,967,314,1060,880,538,341
"11641","ENSMUSG00000039648|Ccbl1",4824,5686,3620,3778,4541,6467,4729,7904,7810,3452,4621,4624
"11642","ENSMUSG00000039652|Cpeb3",523,538,759,761,432,443,493,495,1267,536,498,407
"11643","ENSMUSG00000039653|Baat",10058,10685,8521,11277,12044,8941,9827,11046,16800,10398,11152,7887
"11644","ENSMUSG00000039656|Rxrb",1159,1116,930,998,991,927,995,1201,1888,857,1109,924
"11645","ENSMUSG00000039660|D2Wsu81e",722,523,451,538,760,574,491,574,828,545,825,528
"11647","ENSMUSG00000039662|Icmt",1980,1615,1770,2418,2439,1581,2066,1551,4312,2109,2534,1640
"11648","ENSMUSG00000039670|Oxld1",289,298,201,271,185,219,266,339,410,204,204,220
"11649","ENSMUSG00000039671|Zmynd8",1510,1327,923,703,1293,1298,1126,1461,1383,721,1372,979
"11652","ENSMUSG00000039678|Tbc1d13",1389,1201,979,1204,1266,1098,1206,1153,2206,1107,1479,1015
"11653","ENSMUSG00000039680|Mrps6",1529,764,761,1056,1720,653,896,798,1850,845,1351,524
"11654","ENSMUSG00000039682|Lap3",13430,12857,10258,9372,11691,11952,11567,15098,18961,8961,11607,9444
"11656","ENSMUSG00000039684|Gm5422",165,118,108,90,119,111,112,92,202,99,94,106
"11657","ENSMUSG00000039686|Zer1",765,770,584,545,573,685,653,862,923,530,630,550
"11659","ENSMUSG00000039693|5730528L13Rik",11,20,6,18,9,10,12,18,27,19,13,7
"11660","ENSMUSG00000039697|Ncoa7",111,108,103,139,80,141,97,117,209,108,93,74
"11661","ENSMUSG00000039699|Batf2",32,29,21,16,28,36,22,30,47,18,27,18
"11662","ENSMUSG00000039701|Usp53",445,353,539,577,460,429,530,448,1178,483,423,396
"11663","ENSMUSG00000039703|Nploc4",4167,4010,4100,4304,4029,3603,4187,4077,8602,4008,4406,3340
"11664","ENSMUSG00000039704|Lmbrd2",2347,2200,2381,2242,1966,2233,2020,2286,4935,2135,1855,1803
"11665","ENSMUSG00000039706|Ldb2",117,127,127,117,93,107,124,160,244,115,123,107
"11667","ENSMUSG00000039713|Plekhg5",230,363,278,248,208,275,168,254,526,218,251,213
"11669","ENSMUSG00000039715|Wdr34",196,172,149,175,170,173,175,223,258,114,190,183
"11673","ENSMUSG00000039725|2810408M09Rik",234,176,170,273,210,216,241,225,379,221,240,211
"11675","ENSMUSG00000039735|Fnbp1l",903,601,553,649,643,700,820,756,1223,655,693,578
"11676","ENSMUSG00000039737|Prkrip1",234,175,203,256,223,184,227,178,357,242,210,190
"11677","ENSMUSG00000039738|Slx4",225,128,194,236,196,175,262,167,347,250,224,151
"11678","ENSMUSG00000039740|Alg2",1029,333,471,760,498,430,1151,349,1458,932,524,464
"11679","ENSMUSG00000039741|Bahcc1",372,367,289,314,302,264,233,345,519,253,354,228
"11681","ENSMUSG00000039745|Htatip2",591,742,598,617,715,753,770,1235,1534,712,731,565
"11682","ENSMUSG00000039747|Orai2",44,62,43,27,35,49,39,60,62,35,54,47
"11683","ENSMUSG00000039748|Exo1",11,2,5,6,12,13,11,21,19,4,7,9
"11684","ENSMUSG00000039753|Fbxl5",1282,1275,1401,1647,1172,1408,1454,1681,2946,1352,1140,1191
"11685","ENSMUSG00000039754|Alkbh4",119,104,115,169,155,128,172,119,268,127,178,145
"11686","ENSMUSG00000039756|Dnttip2",1010,819,910,1010,835,927,1036,793,2064,851,863,760
"11687","ENSMUSG00000039759|Thap3",205,163,157,141,172,181,225,190,331,155,220,155
"11689","ENSMUSG00000039763|Dnajc28",602,516,423,567,660,584,475,656,1030,465,615,423
"11690","ENSMUSG00000039765|Cc2d2a",175,182,165,129,104,260,214,278,222,128,123,190
"11691","ENSMUSG00000039768|Dnajc11",2351,1898,1958,2231,2061,2019,2472,1954,3842,2078,2341,1906
"11692","ENSMUSG00000039770|Ypel5",1537,1734,2110,1926,1445,1717,1206,1966,5103,1435,1479,1689
"11693","ENSMUSG00000039771|Polr2j",605,538,423,515,506,496,499,526,933,472,527,474
"11696","ENSMUSG00000039781|Azi1",162,149,186,154,170,171,149,148,323,168,176,126
"11697","ENSMUSG00000039782|Cpeb2",1281,2055,1414,1801,1912,2088,1092,2078,2035,1771,1090,1430
"11698","ENSMUSG00000039783|Kmo",14057,12458,11902,13972,12324,15319,11748,15131,20974,11518,12217,12598
"11700","ENSMUSG00000039787|Cercam",14,15,10,15,14,22,13,17,18,10,12,17
"11701","ENSMUSG00000039789|Zfp597",612,457,635,767,619,532,587,568,1173,626,539,514
"11702","ENSMUSG00000039795|Zfand1",501,528,505,544,456,608,477,689,846,487,403,411
"11704","ENSMUSG00000039801|2410089E03Rik",340,359,315,358,362,360,350,368,612,311,291,280
"11705","ENSMUSG00000039804|Ncoa5",698,414,267,376,660,405,716,311,438,415,681,404
"11706","ENSMUSG00000039809|Gabbr2",944,736,1055,796,743,1157,1059,1355,1527,630,727,820
"11707","ENSMUSG00000039810|Zc3h10",358,303,313,475,395,248,378,307,654,367,425,345
"11708","ENSMUSG00000039813|Tbc1d2",119,70,14,33,91,71,52,68,68,42,96,52
"11710","ENSMUSG00000039824|Myl6b",6,7,8,9,17,10,11,8,19,8,3,7
"11711","ENSMUSG00000039826|Trub2",463,425,349,410,407,466,381,411,663,461,430,384
"11712","ENSMUSG00000039828|Wdr70",133,133,132,164,206,149,162,163,336,147,183,130
"11714","ENSMUSG00000039831|Arhgap29",3308,3683,4653,3726,3220,4186,4054,5059,9133,2533,3166,3372
"11715","ENSMUSG00000039834|Zfp335",818,810,769,808,694,757,961,738,1458,710,769,601
"11716","ENSMUSG00000039835|Nhsl1",713,499,352,290,503,427,547,600,746,425,496,337
"11718","ENSMUSG00000039840|Epg5",2642,2615,2474,2303,2282,2665,2287,3184,3964,2080,2272,2113
"11719","ENSMUSG00000039841|Zfp800",797,536,499,731,648,606,688,543,983,626,572,498
"11720","ENSMUSG00000039842|Mcph1",332,275,186,222,171,283,215,250,478,321,166,221
"11721","ENSMUSG00000039844|Rapgef1",2206,1984,2393,2643,2250,1846,2026,2066,4545,2245,2491,1680
"11722","ENSMUSG00000039849|Pcif1",877,1025,895,895,980,943,852,1022,1631,784,1089,809
"11723","ENSMUSG00000039850|Endov",208,234,188,163,154,219,189,206,335,178,184,195
"11725","ENSMUSG00000039852|Rere",672,691,663,609,600,654,478,772,1252,624,517,496
"11726","ENSMUSG00000039853|Trim14",1129,715,405,397,587,714,646,800,745,457,751,615
"11728","ENSMUSG00000039865|Slc44a3",312,405,281,251,192,338,361,520,561,240,245,243
"11729","ENSMUSG00000039873|Neurl2",57,71,52,57,23,62,68,108,117,39,50,51
"11730","ENSMUSG00000039878|Slc39a5",28,19,18,22,19,11,14,15,49,14,26,12
"11731","ENSMUSG00000039879|Heca",1354,1666,2100,2176,1594,1399,1472,1790,4375,1634,1581,1432
"11732","ENSMUSG00000039883|Lrrc17",2,5,5,7,9,8,3,1,14,8,3,3
"11733","ENSMUSG00000039886|Tmem120a",1340,1331,1223,1505,1220,1294,1147,1492,1846,1139,1600,1253
"11734","ENSMUSG00000039887|Alg14",418,426,410,442,360,453,489,502,934,324,355,377
"11735","ENSMUSG00000039891|Txlnb",4,4,1,11,4,6,5,6,81,4,5,4
"11736","ENSMUSG00000039899|Fgl2",174,212,242,279,154,322,240,273,415,244,173,265
"11737","ENSMUSG00000039901|9130011E15Rik",242,264,245,236,228,255,217,321,490,244,199,237
"11738","ENSMUSG00000039903|4931408A02Rik",35,14,7,19,28,15,22,13,19,43,26,17
"11740","ENSMUSG00000039908|Slc26a11",262,305,296,307,273,235,229,280,738,288,296,216
"11741","ENSMUSG00000039910|Cited2",819,828,550,515,711,623,799,914,859,503,719,539
"11742","ENSMUSG00000039911|Spsb1",64,36,40,48,47,70,56,55,85,33,48,42
"11744","ENSMUSG00000039914|Coq10a",577,610,708,686,517,639,648,602,1438,578,545,595
"11745","ENSMUSG00000039917|Rhbdd2",414,374,545,825,531,409,453,437,1035,684,497,411
"11746","ENSMUSG00000039929|Urb1",578,308,327,528,410,357,584,307,718,456,476,288
"11747","ENSMUSG00000039934|Pion",1639,1773,1648,1191,868,1666,1454,2023,3118,1259,997,1286
"11748","ENSMUSG00000039936|Pik3cd",198,244,195,206,148,271,184,317,359,189,199,219
"11749","ENSMUSG00000039942|Ptger4",24,19,23,30,23,25,23,43,36,22,19,13
"11750","ENSMUSG00000039943|Plcb4",250,188,183,227,253,259,223,201,396,176,210,182
"11752","ENSMUSG00000039952|Dag1",2147,2146,2382,2544,2162,2554,2280,2687,4238,2435,2247,1910
"11753","ENSMUSG00000039953|Clstn1",221,238,208,206,222,234,232,239,403,182,183,239
"11755","ENSMUSG00000039956|Mrap",1813,1508,855,1236,1311,1739,1546,2170,1548,1174,1485,1485
"11756","ENSMUSG00000039958|Mettl20",2411,2326,1720,2215,3128,2019,1126,2083,6032,1813,2521,2121
"11757","ENSMUSG00000039959|Hip1",614,486,383,437,551,605,431,633,711,382,530,522
"11758","ENSMUSG00000039960|Rhou",3534,4115,3262,2472,2721,3409,3168,5437,6144,2506,3065,3040
"11760","ENSMUSG00000039963|Ccdc40",8,6,3,9,9,4,3,5,19,3,9,5
"11761","ENSMUSG00000039967|Zfp292",1066,1293,1313,1322,1100,1466,971,1861,2335,1018,924,1254
"11762","ENSMUSG00000039968|Rsbn1l",489,471,586,517,451,638,460,625,1109,439,407,474
"11763","ENSMUSG00000039976|Tbc1d16",1409,1103,1601,1679,1297,854,1154,1137,3317,1653,1562,963
"11764","ENSMUSG00000039977|Ccdc67",12,12,12,8,7,9,16,24,28,7,25,13
"11765","ENSMUSG00000039981|Zc3h12d",110,221,95,61,70,181,80,270,91,107,93,150
"11766","ENSMUSG00000039982|Dtx4",878,752,302,287,770,856,927,904,535,327,823,725
"11767","ENSMUSG00000039983|Ccdc32",181,206,179,188,190,244,187,194,429,183,223,191
"11768","ENSMUSG00000039985|Fam60a",55,22,55,68,60,37,59,36,138,92,59,25
"11769","ENSMUSG00000039987|Phtf2",544,409,563,687,459,422,487,435,1310,532,529,400
"11770","ENSMUSG00000039988|Ankrd13c",1171,1064,1034,1133,1153,1022,1133,1121,1964,963,1007,831
"11771","ENSMUSG00000039989|Cbx4",1048,946,1002,950,960,734,772,757,1964,1043,1207,781
"11772","ENSMUSG00000039990|2700050L05Rik",1349,1066,1265,1842,1308,1170,1671,1152,2867,1372,1475,1035
